"","P","Alder","B.Ar","EL.Kar","O.Karak_num","BLEnergikWh","MatValg_num","Oms.Typ","BolType","AntEiendom","EiendomAreal","VannkantGL","VegkantGL","RegLBE","RegGrunnforur","RegKulturEiendom","RegGrunnerverv","RegBoDrivePlikt","TotBoliger","BRA.Bolig","BRA.Annet","BRA.Tot","BebygdAreal","RegKulturByg","Etasje","Lopenr","Bruksareal.Enhet","AntallRom","AntallBad","AntallWC","PrivatEid","HarHeis","EtasjeSeksjon","Kjokken","VannKode","Vannforsyning","AvlopsKode","Avlop","DokumentAr","YearQuarter","DokumentDato","Matrikkel","Knr","Gnr","Bnr","Snr","Bygningsnummer","GateAdresse","EiendomAdressegatenavn","EiendomAdressehusnr","EiendomAdressebokstav","BruksEnhetsNummer","Postnummer","Bygningskategori","Dokumentnr","Bygningstype","Anvendelse","Naeringsgruppe","EiendomNordSor","EiendomOstVest"
"118",2350000,14,2005,4,1,213.48,4,"Fritt salg","Blokkleilighet",1,"729.9",0,0,0,0,0,0,0,3,"297.0","0.0","297.0","1.0",0,1,1,"75.0",3,1,1,1,0,"Underetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q3",2019-07-29,"4624/44/502/3","4624","44","502","3",21711292,"Halhjemsmarka 196 B","halhjemsmarka",196,"B",NA,"5200","Småhus",869620,"Enebolig m/hybel/sokkelleil.","Bolig","Bolig","6705771.68","-29877.25"
"119",2150000,14,2005,4,1,213.48,4,"Fritt salg","Blokkleilighet",1,"729.9",0,0,0,0,0,0,0,3,"297.0","0.0","297.0","1.0",0,1,1,"75.0",3,1,1,1,0,"Underetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q4",2019-10-02,"4624/44/502/2","4624","44","502","2",21711292,"Halhjemsmarka 196 B","halhjemsmarka",196,"A",NA,"5200","Småhus",1153502,"Enebolig m/hybel/sokkelleil.","Bolig","Bolig","6705771.68","-29877.25"
"139",2635000,129,1890,1,1,380.92,2,"Fritt salg","Blokkleilighet",1,"207.8",0,0,0,0,0,0,0,10,"519.0","0.0","519.0","0.0",0,1,2,"41.0",2,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q1",2019-01-16,"4601/164/660/2","4601","164","660","2",139279239,"Fosswinckels gate 39","fosswinckels gate",39,NA,NA,"5008","Boligblokker",69163,"Store sammenb. boligbygg på 3 og 4 etg.","Bolig","Bolig","6733652.4","-31890.95"
"144",3350000,12,2007,4,1,185.4,1,"Fritt salg","Tomannsbolig",1,"4067.5",1,1,0,0,0,0,0,2,"221.0","0.0","221.0","0.0",0,1,1,"142.0",6,2,2,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q3",2019-07-19,"4624/36/15/4","4624","36","15","4",25374649,"Skeisstøa 49 D","skeisstøa",49,"C","U0101","5217","Småhus",843586,"Tomannsbolig, horisontaldelt","Bolig","Bolig","6708933.65","-30819.18"
"157",4955000,62,1957,2,2,326.26,4,"Fritt salg","Blokkleilighet",1,"1189.7",0,0,0,0,0,0,0,4,"536.0","0.0","536.0","0.0",0,2,2,"0.0",0,0,0,1,0,"Hovedetasje","Ikke Oppgitt",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q2",2019-05-14,"4601/161/850/3","4601","161","850","3",139250168,"Landåslien 33 A","landåslien",33,"A","H0202","5097","Boligblokker",549790,"Andre småhus m/3 boliger el fl","Bolig","Bolig","6730275.35","-29846.33"
"159",2730000,62,1957,2,2,326.26,4,"Fritt salg","Blokkleilighet",1,"1189.7",0,0,0,0,0,0,0,4,"536.0","0.0","536.0","0.0",0,1,1,"0.0",0,0,0,1,0,"Hovedetasje","Ikke Oppgitt",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q4",2019-10-10,"4601/161/850/2","4601","161","850","2",139250168,"Landåslien 33 A","landåslien",33,"A","H0202","5097","Boligblokker",1196113,"Andre småhus m/3 boliger el fl","Bolig","Bolig","6730275.35","-29846.33"
"164",2220000,14,2005,4,2,187.28,4,"Fritt salg","Tomannsbolig",1,"947.2",0,0,0,0,0,0,0,1,"96.0","0.0","96.0","0.0",0,1,1,"65.0",5,2,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q3",2019-07-17,"4631/108/275/2","4631","108","275","2",23981319,"BAKKEN 17 A","bakken",17,"A","H0101","5955","Småhus",832753,"Tomannsbolig, vertikaldelt","Bolig","Bolig","6774167.97","-35324.14"
"167",2210000,13,2006,4,1,242.29,2,"Fritt salg","Blokkleilighet",1,"364.8",0,0,0,0,0,0,0,4,"215.0","0.0","215.0","0.0",0,1,1,"0.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q2",2019-06-05,"4601/158/662/2","4601","158","662","2",139218442,"NORDRE SKOGVEIEN 23","nordre skogveien",23,NA,NA,"5057","Småhus",633613,"Store sammenb. boligbygg på 3 og 4 etg.","Bolig","Bolig","6732703.98","-32180.81"
"169",2375000,13,2006,4,1,242.29,2,"Fritt salg","Blokkleilighet",1,"364.8",0,0,0,0,0,0,0,4,"215.0","0.0","215.0","0.0",0,2,1,"0.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q3",2019-07-03,"4601/158/662/3","4601","158","662","3",139218442,"NORDRE SKOGVEIEN 23","nordre skogveien",23,NA,NA,"5057","Småhus",765001,"Store sammenb. boligbygg på 3 og 4 etg.","Bolig","Bolig","6732703.98","-32180.81"
"176",2850000,61,1958,2,2,321.46,1,"Fritt salg","Blokkleilighet",1,"347.7",0,0,0,0,0,0,0,11,"895.0","0.0","895.0","0.0",0,2,1,"69.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q3",2019-08-26,"4601/158/279/4","4601","158","279","4",139214528,"LØBERGSVEIEN 31","løbergsveien",31,NA,NA,"5054","Boligblokker",984814,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6732176.57","-31641.51"
