"","P","Alder","B.Ar","EL.Kar","O.Karak_num","BLEnergikWh","MatValg_num","Oms.Typ","BolType","AntEiendom","EiendomAreal","VannkantGL","VegkantGL","RegLBE","RegGrunnforur","RegKulturEiendom","RegGrunnerverv","RegBoDrivePlikt","TotBoliger","BRA.Bolig","BRA.Annet","BRA.Tot","BebygdAreal","RegKulturByg","Etasje","Lopenr","Bruksareal.Enhet","AntallRom","AntallBad","AntallWC","PrivatEid","HarHeis","EtasjeSeksjon","Kjokken","VannKode","Vannforsyning","AvlopsKode","Avlop","DokumentAr","YearQuarter","DokumentDato","Matrikkel","Knr","Gnr","Bnr","Snr","Bygningsnummer","GateAdresse","EiendomAdressegatenavn","EiendomAdressehusnr","EiendomAdressebokstav","BruksEnhetsNummer","Postnummer","Bygningskategori","Dokumentnr","Bygningstype","Anvendelse","Naeringsgruppe","EiendomNordSor","EiendomOstVest"
"1318",3300000,6,2013,5,5,124.62,1,"Fritt salg","Blokkleilighet",1,"4328.1",1,0,0,0,0,0,0,20,"1479.0","0.0","1479.0","360.0",0,1,1,"53.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q3",2019-08-06,"4601/158/87/1","4601","158","87","1",300281113,"Michael Krohns gate 73","michael krohns gate",73,NA,"H0301","5057","Boligblokker",899509,"Store sammenb. boligbygg på 5 etg. el. mer","Bolig","Bolig","6733136.07","-32443.98"
"1319",3100000,6,2013,5,5,124.62,1,"Fritt salg","Blokkleilighet",1,"4328.1",1,0,0,0,0,0,0,20,"1479.0","0.0","1479.0","360.0",0,2,1,"53.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q3",2019-08-19,"4601/158/87/4","4601","158","87","4",300281113,"Michael Krohns gate 73","michael krohns gate",73,NA,"H0301","5057","Boligblokker",953833,"Store sammenb. boligbygg på 5 etg. el. mer","Bolig","Bolig","6733136.07","-32443.98"
"1344",3700000,16,2003,5,1,136.2,1,"Fritt salg","Blokkleilighet",1,"3707.1",1,0,0,0,0,0,0,52,"3833.0","0.0","3833.0","630.0",0,4,2,"53.0",2,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q3",2019-07-17,"4601/168/2064/25","4601","168","2064","25",20774584,"Måseskjærveien 22","måseskjærveien",22,NA,"H0302","5035","Boligblokker",831278,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6736699.89","-31915.75"
"1353",4875000,16,2003,5,1,136.2,1,"Fritt salg","Blokkleilighet",1,"3707.1",1,0,0,0,0,0,0,52,"3833.0","0.0","3833.0","630.0",0,3,4,"81.0",3,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q3",2019-07-01,"4601/168/2064/15","4601","168","2064","15",20774584,"Måseskjærveien 22","måseskjærveien",22,NA,"H0302","5035","Boligblokker",749756,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6736699.89","-31915.75"
"1368",3125000,16,2003,5,1,161.03,4,"Fritt salg","Blokkleilighet",1,"4463.7",1,0,0,0,0,0,0,8,"882.0","0.0","882.0","0.0",0,1,1,"85.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q2",2019-06-14,"4601/50/247/1","4601","50","247","1",20772034,"Kirkebirkeland 91 D","kirkebirkeland",91,"G","H0201","5227","Småhus",677792,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6724059.67","-30539.52"
"1376",3050000,11,2008,5,1,160.32,4,"Fritt salg","Blokkleilighet",1,"8528.7",0,0,0,0,0,0,0,4,"324.0","0.0","324.0","0.0",0,1,1,"78.0",3,1,1,1,0,"Underetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q3",2019-09-05,"4601/137/209/17","4601","137","209","17",25170288,"Drotningsvikveien 116 D","drotningsvikveien",116,"A","U0101","5179","Småhus",1038344,"Andre småhus m/3 boliger el fl","Bolig","Bolig","6733247.75","-39976.18"
"1381",9100000,33,1986,3,2,219.54,4,"Fritt salg","Frittliggende enebolig",1,"1527.0",1,0,0,0,0,0,0,1,"386.0","0.0","386.0","0.0",0,1,1,"386.0",7,3,3,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q4",2019-12-17,"4601/160/786/NA","4601","160","786","NA",9442324,"Nordrehaug 7","nordrehaug",7,NA,"H0101","5089","Småhus",1512811,"Enebolig","Bolig","Bolig","6730100.19","-30266.4"
"1388",4200000,6,2013,4,1,137.75,1,"Fritt salg","Blokkleilighet",1,"15130.7",1,0,0,0,0,0,0,19,"1971.0","0.0","1971.0","855.0",0,2,3,"83.0",3,2,2,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q4",2019-11-06,"4601/43/1080/11","4601","43","1080","11",300085043,"Sanddalsvegen 7","sanddalsvegen",7,NA,"H0304","5221","Boligblokker",1325701,"Store sammenb. boligbygg på 3 og 4 etg.","Bolig","Bolig","6726113.31","-31476.58"
"1392",2350000,7,2012,4,1,144.46,4,"Fritt salg","Blokkleilighet",1,"5820.0",0,0,0,0,0,0,0,6,"707.0","0.0","707.0","217.0",0,1,1,"77.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q1",2019-03-06,"4626/8/95/21","4626","8","95","21",24660753,"Halsvardtjørna 14 C","halsvardtjørna",14,"A",NA,"5357","Boligblokker",277466,"Terrassehus","Bolig","Bolig","6729600.42","-49188.67"
"1399",3310000,5,2014,4,2,136.88,1,"Fritt salg","Blokkleilighet",1,"2176.8",0,0,0,0,0,0,0,14,"1265.0","0.0","1265.0","500.0",0,3,3,"55.0",2,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q3",2019-08-27,"4601/159/620/16","4601","159","620","16",300246211,"Mindeveien 77","mindeveien",77,NA,"H0101","5073","Boligblokker",991779,"Store sammenb. boligbygg på 3 og 4 etg.","Bolig","Bolig","6731022.01","-31616.28"
"1402",5e+06,18,2001,4,1,126.74,1,"Fritt salg","Blokkleilighet",1,"1384.8",0,0,0,0,0,0,0,33,"4325.0","0.0","4325.0","0.0",0,3,1,"95.0",3,1,2,1,1,"Hovedetasje","Kjøkken",0,"Ikke Oppgitt",1,"Offentlig kloakk",2019,"2019Q2",2019-04-04,"4601/12/356/12","4601","12","356","12",20739398,"Fantoftvegen 28","fantoftvegen",28,NA,NA,"5072","Boligblokker",399534,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6728714.78","-31075.57"
"1405",4600000,18,2001,4,1,126.74,1,"Fritt salg","Blokkleilighet",1,"1384.8",0,0,0,0,0,0,0,33,"4325.0","0.0","4325.0","0.0",0,2,2,"87.0",3,1,2,1,1,"Hovedetasje","Kjøkken",0,"Ikke Oppgitt",1,"Offentlig kloakk",2019,"2019Q3",2019-08-28,"4601/12/356/6","4601","12","356","6",20739398,"Fantoftvegen 28","fantoftvegen",28,NA,NA,"5072","Boligblokker",996724,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6728714.78","-31075.57"
"1415",3280000,95,1924,1,2,407.95,4,"Fritt salg","Blokkleilighet",1,"262.6",0,0,0,0,0,0,0,4,"262.0","0.0","262.0","0.0",0,1,1,"62.0",3,1,1,1,0,"Loft","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q2",2019-06-26,"4601/153/186/4","4601","153","186","4",139626079,"Håsteins gate 21","håsteins gate",21,NA,"U0101","5160","Boligblokker",729772,"Andre småhus m/3 boliger el fl","Bolig","Bolig","6733774.29","-33535.69"
"1419",3e+06,8,2011,5,1,167.81,4,"Fritt salg","Annet",2,"758.1",1,0,0,0,0,0,0,6,"713.0","0.0","713.0","1.0",0,1,1,"54.0",2,1,1,1,0,"Underetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q3",2019-07-02,"4601/42/198/1","4601","42","198","1",25169808,"Nesttunhalsen 20 C","nesttunhalsen",20,"A","H0201","5221","Småhus",762066,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6726150.98","-31911.53"
"1424",4750000,19,2000,5,3,155.49,4,"Fritt salg","Frittliggende enebolig",1,"523.2",0,0,0,0,0,0,0,1,"140.0","0.0","140.0","0.0",0,1,1,"140.0",5,2,2,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q2",2019-06-05,"4627/10/561/NA","4627","10","561","NA",19719499,"Lyngmarka 8","lyngmarka",8,NA,"H0101","5302","Småhus",634000,"Enebolig","Bolig","Bolig","6736959.03","-39467.56"
"1426",3750000,13,2006,4,1,141.48,1,"Fritt salg","Blokkleilighet",1,"499.6",0,0,0,0,0,0,0,3,"274.0","0.0","274.0","0.0",0,2,1,"85.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q2",2019-05-06,"4601/154/273/2","4601","154","273","2",23653001,"Alléen 13 B","alléen",13,"B","H0201","5160","Boligblokker",505700,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6733642.14","-33289.88"
"1427",3300000,13,2006,4,1,141.48,1,"Fritt salg","Blokkleilighet",1,"499.6",0,0,0,0,0,0,0,3,"274.0","0.0","274.0","0.0",0,1,1,"66.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q3",2019-07-10,"4601/154/273/1","4601","154","273","1",23653001,"Alléen 13 B","alléen",13,"B","H0201","5160","Boligblokker",802712,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6733642.14","-33289.88"
"1429",5200000,96,1923,3,2,253.65,4,"Fritt salg","Rekkehus/kjede",1,"106.9",0,0,0,0,0,0,0,1,"110.0","0.0","110.0","0.0",0,1,1,"0.0",0,0,0,1,0,"Hovedetasje","Ikke Oppgitt",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q1",2019-03-06,"4601/159/496/NA","4601","159","496","NA",139224914,"Inndalsveien 53 K","inndalsveien",53,"K","H0101","5063","Småhus",272573,"Rekkehus","Bolig","Bolig","6731236.54","-30983.81"
"1431",2850000,97,1922,1,3,349.28,4,"Tvangssalg","Frittliggende enebolig",3,"1572.5",0,0,0,0,0,0,0,2,"185.0","0.0","185.0","0.0",0,2,1,"0.0",0,0,0,1,0,"Hovedetasje","Ikke Oppgitt",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q3",2019-08-13,"4627/5/99/2","4627","5","99","2",13592187,"Florvågvegen 356","florvågvegen",356,NA,"H0101","5306","Småhus",932223,"Tomannsbolig, horisontaldelt","Bolig","Bolig","6740491.05","-36518.76"
"1433",2850000,97,1922,1,3,349.28,4,"Tvangssalg","Frittliggende enebolig",3,"1572.5",0,0,0,0,0,0,0,2,"185.0","0.0","185.0","0.0",0,1,1,"0.0",0,0,0,1,0,"Hovedetasje","Ikke Oppgitt",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q3",2019-08-13,"4627/5/99/1","4627","5","99","1",13592187,"Florvågvegen 356","florvågvegen",356,NA,"H0101","5306","Småhus",932223,"Tomannsbolig, horisontaldelt","Bolig","Bolig","6740491.05","-36518.76"
"1437",2050000,12,2007,4,1,150.16,1,"Fritt salg","Blokkleilighet",1,"3268.6",0,1,0,1,0,0,0,14,"0.0","0.0","0.0","0.0",0,1,2,"0.0",0,0,0,1,0,"Underetasje","Kjøkken",0,"Ikke Oppgitt",0,"Ikke Oppgitt",2019,"2019Q2",2019-05-28,"4626/58/21/2","4626","58","21","2",24187241,"Fjellavegen 231 A","fjellavegen",231,"D","H0101","5357","Boligblokker",603829,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6729850.92","-46519.37"
"1443",3050000,89,1930,1,2,563.93,2,"Fritt salg","Annet",1,"275.2",0,0,0,0,0,0,0,5,"356.0","0.0","356.0","0.0",0,3,1,"0.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q3",2019-09-09,"4601/162/526/4","4601","162","526","4",139259939,"Arne Garborgs gate 6","arne garborgs gate",6,NA,"H0201","5052","Småhus",1049053,"Store sammenb. boligbygg på 3 og 4 etg.","Bolig","Bolig","6731899.85","-30958.53"
"1448",2300000,8,2011,6,5,113.26,1,"Fritt salg","Blokkleilighet",1,"4325.6",1,0,0,0,0,0,0,50,"6750.0","0.0","6750.0","2413.0",0,4,7,"47.0",2,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q1",2019-01-17,"4626/35/36/42","4626","35","36","42",300099776,"Bildøyvegen 19","bildøyvegen",19,NA,"H0204","5353","Boligblokker",73270,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6732073.83","-43677.07"
"1450",2050000,8,2011,6,5,113.26,1,"Fritt salg","Blokkleilighet",1,"4325.6",1,0,0,0,0,0,0,50,"6750.0","0.0","6750.0","2413.0",0,1,5,"48.0",2,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q2",2019-06-25,"4626/35/36/13","4626","35","36","13",300099776,"Bildøyvegen 19","bildøyvegen",19,NA,"H0204","5353","Boligblokker",723969,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6732073.83","-43677.07"
"1462",1850000,4,2015,6,1,94.94,1,"Fritt salg","Blokkleilighet",1,"10176.3",1,0,0,0,0,0,0,25,"3081.0","0.0","3081.0","1679.0",0,3,6,"91.0",3,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q3",2019-07-19,"4624/49/133/21","4624","49","133","21",300429386,"Lekvenmarka 116","lekvenmarka",116,NA,"H0302","5209","Boligblokker",845169,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6708877.95","-28729.07"
"1465",3050000,3,2016,6,5,115.39,1,"Fritt salg","Blokkleilighet",1,"1402.9",1,0,0,0,0,0,0,14,"1131.0","0.0","1131.0","434.0",0,2,1,"70.0",3,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q3",2019-08-06,"4601/153/693/6","4601","153","693","6",13917418,"Skolegaten 1","skolegaten",1,NA,"H0202","5160","Boligblokker",901641,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6733924.71","-33538.68"
"1469",2975000,3,2016,6,5,115.39,1,"Fritt salg","Blokkleilighet",1,"1402.9",1,0,0,0,0,0,0,14,"1131.0","0.0","1131.0","434.0",0,1,1,"70.0",3,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q3",2019-08-05,"4601/153/693/1","4601","153","693","1",13917418,"Skolegaten 1","skolegaten",1,NA,"H0202","5160","Boligblokker",896523,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6733924.71","-33538.68"
"1475",1600000,3,2016,6,5,115.39,1,"Annet","Annet",1,"1402.9",1,0,0,0,0,0,0,14,"1131.0","0.0","1131.0","434.0",0,3,1,"66.0",3,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q4",2019-12-12,"4601/153/693/11","4601","153","693","11",13917418,"Skolegaten 1","skolegaten",1,NA,"H0202","5160","Boligblokker",1497170,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6733924.71","-33538.68"
"1480",1355000,28,1991,3,1,229.55,1,"Opphør av samboerskap","Blokkleilighet",1,"8983.1",1,0,0,0,0,0,0,38,"3858.0","0.0","3858.0","0.0",0,2,1,"63.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q1",2019-02-01,"4601/159/957/48","4601","159","957","48",9501533,"Grønnlien 21","grønnlien",25,NA,NA,"5055","Boligblokker",141026,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6731537.39","-31797.79"
"1484",2370000,28,1991,3,1,229.55,1,"Fritt salg","Blokkleilighet",1,"8983.1",1,0,0,0,0,0,0,38,"3858.0","0.0","3858.0","0.0",0,1,9,"54.0",2,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q2",2019-06-14,"4601/159/957/32","4601","159","957","32",9501533,"Grønnlien 21","grønnlien",21,NA,NA,"5055","Boligblokker",676348,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6731537.39","-31797.79"
"1488",2600000,28,1991,3,1,229.55,1,"Fritt salg","Blokkleilighet",1,"8983.1",1,0,0,0,0,0,0,38,"3858.0","0.0","3858.0","0.0",0,3,1,"63.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q3",2019-09-05,"4601/159/957/59","4601","159","957","59",9501533,"Grønnlien 21","grønnlien",43,NA,NA,"5055","Boligblokker",1039366,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6731537.39","-31797.79"
"1489",2410000,28,1991,3,1,229.55,1,"Fritt salg","Blokkleilighet",1,"8983.1",1,0,0,0,0,0,0,38,"3858.0","0.0","3858.0","0.0",0,3,1,"63.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q3",2019-08-01,"4601/159/957/51","4601","159","957","51",9501533,"Grønnlien 21","grønnlien",59,NA,NA,"5055","Boligblokker",884336,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6731537.39","-31797.79"
"1490",2375000,28,1991,3,1,229.55,1,"Fritt salg","Blokkleilighet",1,"8983.1",1,0,0,0,0,0,0,38,"3858.0","0.0","3858.0","0.0",0,1,3,"54.0",2,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q3",2019-07-08,"4601/159/957/38","4601","159","957","38",9501533,"Grønnlien 21","grønnlien",21,NA,NA,"5055","Boligblokker",791838,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6731537.39","-31797.79"
"1500",1480000,129,1890,1,1,322.93,2,"Fritt salg","Blokkleilighet",1,"121.2",0,0,0,0,0,0,0,6,"310.0","0.0","310.0","0.0",1,1,1,"0.0",0,0,0,1,0,"Underetasje","Ikke Oppgitt",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q3",2019-09-13,"4601/167/471/1","4601","167","471","1",139313852,"Øvre Sandviksveien 2","ladegårdsgaten",33,NA,"H0101","5034","Boligblokker",1073293,"Store sammenb. boligbygg på 3 og 4 etg.","Bolig","Bolig","6735371.09","-31703.2"
"1508",2850000,27,1992,3,1,194.83,1,"Fritt salg","Blokkleilighet",1,"2564.2",0,0,0,0,0,0,0,31,"3101.0","0.0","3101.0","0.0",0,2,6,"74.0",3,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q4",2019-10-08,"4601/158/650/13","4601","158","650","13",9522174,"Nordre Skogveien 11","nordre skogveien",11,NA,"H0201","5057","Boligblokker",1186863,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6732669.57","-32132.95"
"1511",1425000,27,1992,3,1,194.83,1,"Fritt salg","Blokkleilighet",1,"2564.2",0,0,0,0,0,0,0,31,"3101.0","0.0","3101.0","0.0",0,1,1,"68.0",2,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q4",2019-10-08,"4601/158/650/9","4601","158","650","9",9522174,"Nordre Skogveien 11","nordre skogveien",11,NA,"H0201","5057","Boligblokker",1184280,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6732669.57","-32132.95"
"1513",1750000,27,1992,3,1,194.83,1,"Fritt salg","Annet",1,"2564.2",0,0,0,0,0,0,0,31,"3101.0","0.0","3101.0","0.0",0,2,7,"74.0",3,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q4",2019-10-25,"4601/158/650/12","4601","158","650","12",9522174,"Nordre Skogveien 11","nordre skogveien",11,NA,"H0201","5057","Boligblokker",1268610,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6732669.57","-32132.95"
"1521",2450000,47,1972,3,3,226.92,4,"Annet","Rekkehus/kjede",1,"413.3",0,0,0,0,0,0,0,1,"161.0","0.0","161.0","0.0",0,1,1,"0.0",0,0,0,1,0,"Hovedetasje","Ikke Oppgitt",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q4",2019-11-08,"4601/28/176/NA","4601","28","176","NA",139210115,"Vassteigen 49","vassteigen",49,NA,"H0101","5141","Småhus",1337842,"Rekkehus","Bolig","Bolig","6728019.15","-36180.2"
"1524",3580000,11,2008,5,5,125.01,1,"Fritt salg","Blokkleilighet",1,"3412.1",1,0,0,0,0,1,0,71,"6096.0","0.0","6096.0","0.0",0,5,1,"65.0",3,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q3",2019-07-31,"4601/163/28/47","4601","163","28","47",23669668,"Møllendalsbakken 1","møllendalsbakken",1,NA,"H0303","5009","Boligblokker",879748,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6732466.13","-30576.28"
"1543",2950000,11,2008,5,5,125.01,1,"Fritt salg","Blokkleilighet",1,"3412.1",1,0,0,0,0,1,0,71,"6096.0","0.0","6096.0","0.0",0,2,5,"51.0",2,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q2",2019-04-23,"4601/163/28/15","4601","163","28","15",23669668,"Møllendalsbakken 1","møllendalsbakken",1,NA,"H0303","5009","Boligblokker",462444,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6732466.13","-30576.28"
"1551",4525000,22,1997,3,2,214.86,4,"Fritt salg","Rekkehus/kjede",1,"192.8",0,0,0,0,0,0,0,1,"129.0","0.0","129.0","79.0",0,1,1,"129.0",4,1,2,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q2",2019-05-09,"4601/20/1660/NA","4601","20","1660","NA",9570454,"Gullstølsbotn 29","gullstølsbotn",29,NA,"H0101","5153","Småhus",528926,"Rekkehus","Bolig","Bolig","6728026.63","-33794.9"
"1561",3700000,9,2010,6,1,97.62,4,"Fritt salg","Blokkleilighet",1,"8183.3",1,0,0,0,0,0,0,8,"722.0","0.0","722.0","440.0",0,2,1,"86.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q3",2019-09-17,"4601/34/13/30","4601","34","13","30",300054352,"Skranevegen 119","skranevegen",117,NA,"H0101","5252","Boligblokker",1085937,"Stort frittliggende boligbygg på 2 etg.","Bolig","Bolig","6725335.87","-36218.79"
"1562",2550000,8,2011,6,5,115.55,1,"Annet","Blokkleilighet",1,"2393.7",0,0,0,0,0,0,0,43,"2678.0","0.0","2678.0","1.0",0,4,5,"45.0",2,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q2",2019-05-15,"4601/158/856/80","4601","158","856","80",25606949,"Michael Krohns gate 71","michael krohns gate",71,NA,"H0502","5057","Boligblokker",551608,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6733064.73","-32385.81"
"1574",3150000,8,2011,6,5,115.55,1,"Fritt salg","Blokkleilighet",1,"2393.7",0,0,0,0,0,0,0,43,"2678.0","0.0","2678.0","1.0",0,5,7,"49.0",2,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q3",2019-07-03,"4601/158/856/91","4601","158","856","91",25606949,"Michael Krohns gate 71","michael krohns gate",71,NA,"H0502","5057","Boligblokker",766939,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6733064.73","-32385.81"
"1584",3550000,71,1948,1,2,378.21,4,"Fritt salg","Annet",1,"503.8",0,0,0,0,0,0,0,4,"411.0","0.0","411.0","0.0",0,1,1,"116.0",4,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q1",2019-01-02,"4601/153/414/2","4601","153","414","2",139627350,"Herman Grans vei 53 A","herman grans vei",53,"A","H0202","5162","Boligblokker",9796,"Andre småhus m/3 boliger el fl","Bolig","Bolig","6733983.05","-33805.45"
"1588",2680000,9,2010,4,1,147.24,4,"Fritt salg","Rekkehus/kjede",1,"1277.7",1,0,0,0,0,0,0,4,"316.0","0.0","316.0","310.0",0,1,1,"78.0",4,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q2",2019-06-12,"4601/171/216/1","4601","171","216","1",300092284,"Hylkjebakken 42","hylkjebakken",42,NA,"H0101","5109","Boligblokker",663112,"Andre småhus m/3 boliger el fl","Bolig","Bolig","6747065.79","-28851.89"
"1591",2500000,9,2010,4,1,147.24,4,"Fritt salg","Blokkleilighet",1,"1277.7",1,0,0,0,0,0,0,4,"316.0","0.0","316.0","310.0",0,2,1,"78.0",4,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q4",2019-10-25,"4601/171/216/3","4601","171","216","3",300092284,"Hylkjebakken 42","hylkjebakken",44,NA,"H0101","5109","Boligblokker",1272126,"Andre småhus m/3 boliger el fl","Bolig","Bolig","6747065.79","-28851.89"
"1599",2850000,2,2017,7,4,90.5,0,"Fritt salg","Blokkleilighet",1,"3493.0",0,0,0,0,0,1,0,43,"8452.0","0.0","8452.0","1915.0",0,4,7,"74.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q4",2019-12-19,"4626/35/49/38","4626","35","49","38",300580842,"Bildøyvegen 9","bildøyvegen",9,NA,"H0204","5353","Boligblokker",1528366,"Store sammenb. boligbygg på 5 etg. el. mer","Bolig","Bolig","6732087.19","-43565.82"
"1600",4750000,2,2017,7,4,90.5,0,"Fritt salg","Blokkleilighet",1,"3493.0",0,0,0,0,0,1,0,43,"8452.0","0.0","8452.0","1915.0",0,6,3,"98.0",4,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q1",2019-02-28,"4626/35/49/47","4626","35","49","47",300580842,"Bildøyvegen 9","bildøyvegen",9,NA,"H0204","5353","Boligblokker",247922,"Store sammenb. boligbygg på 5 etg. el. mer","Bolig","Bolig","6732087.19","-43565.82"
