"","P","pm2","Alder","B.Ar","EL.Kar","EL.Kar.Original","O.Karak","O.Karak_num","BLEnergikWh","MatValg","MatValg_num","Oms.Typ","BolType","AntEiendom","EiendomAreal","VannkantGL","VegkantGL","RegLBE","RegGrunnforur","RegKulturEiendom","RegGrunnerverv","TotBoliger","BRA.Bolig","BRA.Annet","BRA.Tot","BebygdAreal","RegKulturByg","Etasje","Lopenr","Bruksareal.Enhet","AntallRom","AntallBad","AntallWC","PrivatEid","HarHeis","Etasje_num","EtasjeSeksjon","Kjokken","VannKode","Vannforsyning","AvlopsKode","Avlop","DokumentAr","YearQuarter","DokumentDato","Matrikkel","Knr","Gnr","Bnr","Snr","Bygningsnummer","GateAdresse","EiendomAdressegatenavn","EiendomAdressehusnr","EiendomAdressebokstav","BruksEnhetsNummer","Postnummer","Bygningskategori","Dokumentnr","Bygningstype","Anvendelse","Naeringsgruppe","Andelsnummer","InternIdBruksenhet","dist_cbd_km","geom"
"11",2050000,32031.25,12,2008,4,"D","Red",1,167.61,"Betong",1,"Fritt salg","Blokkleilighet",1,"5820.0",0,0,0,0,0,0,6,707,"0.0","707.0","0.0",0,3,2,64,2,1,1,1,0,2,"Hovedetasje","Kjøkken",0,"Ikke Oppgitt",0,"Ikke Oppgitt",2020,"2020Q3",2020-09-07 02:00:00,"4626/8/95/16",4626,8,95,"16",24660745,"Halsvardtjørna 26 C","halsvardtjørna",24,"C","H0301","5357","Boligblokker",2981449,"Terrassehus","Bolig","Bolig",4,553026,17.8,c(-49188.67, 6729600.42)
"12",2450000,33561.6438356164,11,2008,4,"D","Orange",2,202.07,"Tre",4,"Fritt salg","Blokkleilighet",1,"685.1",0,0,0,0,0,0,6,452,"0.0","452.0","0.0",0,1,1,73,3,1,1,1,0,2,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",2,"Privat kloakk",2019,"2019Q3",2019-07-26 02:00:00,"4627/17/591/3",4627,17,591,"3",300000677,"DJUPEDALEN 30 A","djupedalen",30,"C","H0101","5310","Småhus",866605,"Andre småhus m/3 boliger el fl","Bolig","Bolig",8,247411,12.37,c(-41859.98, 6741840.72)
"13",2450000,33561.6438356164,13,2008,4,"D","Orange",2,202.07,"Tre",4,"Fritt salg","Blokkleilighet",1,"685.1",0,0,0,0,0,0,6,452,"0.0","452.0","0.0",0,1,1,73,3,1,1,1,0,2,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",2,"Privat kloakk",2021,"2021Q4",2021-10-04 02:00:00,"4627/17/591/2",4627,17,591,"2",300000677,"DJUPEDALEN 30 A","djupedalen",30,"B","H0101","5310","Småhus",1229497,"Andre småhus m/3 boliger el fl","Bolig","Bolig",7,247427,12.37,c(-41859.98, 6741840.72)
"14",2590000,38088.2352941177,13,2007,4,"D","Red",1,172.72,"Tre",4,"Fritt salg","Blokkleilighet",1,"6265.7",1,0,0,0,0,0,2,139,"0.0","139.0","0.0",0,2,1,68,2,1,1,1,0,2,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q2",2020-06-19 02:00:00,"4624/44/501/11",4624,44,501,"11",21720593,"Halhjemsmarka 191 B","halhjemsmarka",191,"B",NA,"5208","Boligblokker",2621846,"Tomannsbolig, horisontaldelt","Bolig","Bolig",7,2359105,28.62,c(-29946.22, 6705778.06)
"15",5125000,32232.7044025157,8,2012,5,"C","Orange",2,146.51,"Tre",4,"Fritt salg","Tomannsbolig",1,"798.3",0,0,0,0,0,0,1,159,"0.0","159.0","118.0",0,1,1,159,6,2,2,1,0,2,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q2",2020-04-06 02:00:00,"4627/4/383/1",4627,4,383,"1",300228363,"Skogvegen 55 A","skogvegen",55,"A","H0101","5306","Småhus",2311672,"Tomannsbolig, vertikaldelt","Bolig","Bolig",8,6043638,8.62,c(-36571.15, 6741647.18)
"16",4050000,28928.5714285714,17,2005,4,"D","Red",1,180.37,"Tre",4,"Fritt salg","Tomannsbolig",1,"4087.3",1,0,0,0,0,0,1,140,"0.0","140.0","0.0",0,1,1,140,5,2,2,1,0,2,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q2",2022-05-03 02:00:00,"4627/14/411/3",4627,14,411,"3",22991337,"Peragjerdet 24","peragjerdet",24,NA,"H0101","5308","Småhus",473975,"Tomannsbolig, vertikaldelt","Bolig","Bolig",11,144357,8.67,c(-39031.91, 6739429.41)
"17",2810000,30215.0537634409,18,2002,5,"C","Red",1,180.99,"Betong",1,"Fritt salg","Blokkleilighet",1,"703.6",0,0,0,0,0,0,4,340,"0.0","340.0","0.0",0,1,1,93,4,1,1,1,0,2,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q4",2020-10-27 01:00:00,"4626/58/76/4",4626,58,76,"4",22575570,"Kvednhaugen 62 A","kvednhaugen",64,"B","U0101","5357","Småhus",3237685,"Rekkehus","Bolig","Bolig",6,357668,15.47,c(-46829.25, 6729813.59)
"18",2100000,30882.3529411765,19,2002,5,"C","Red",1,180.99,"Betong",1,"Fritt salg","Blokkleilighet",1,"703.6",0,0,0,0,0,0,4,340,"0.0","340.0","0.0",0,1,1,68,2,1,1,1,0,1,"Underetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q4",2021-10-05 02:00:00,"4626/58/76/1",4626,58,76,"1",22575570,"Kvednhaugen 62 A","kvednhaugen",62,"A","U0101","5357","Småhus",1233548,"Rekkehus","Bolig","Bolig",6,357654,15.47,c(-46829.25, 6729813.59)
"19",3200000,21768.7074829932,16,2004,5,"C","Orange",2,145.8,"Tre",4,"Fritt salg","Tomannsbolig",1,"9272.1",1,0,0,0,0,0,1,147,"0.0","147.0","0.0",0,1,1,147,7,2,2,1,0,2,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q1",2020-02-07 01:00:00,"4627/14/414/12",4627,14,414,"12",22991140,"Peragjerdet 68","peragjerdet",68,NA,"H0101","5308","Småhus",2084317,"Tomannsbolig, vertikaldelt","Bolig","Bolig",6,144250,8.62,c(-39017.48, 6739369.47)
"20",2930000,30842.1052631579,31,1988,3,"E","Red",1,255.73,"Tre",4,"Fritt salg","Uoppgitt",3,"268.0",0,0,0,0,0,0,7,766,"0.0","766.0","260.0",0,2,4,95,4,2,2,1,0,2,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q3",2019-07-16 02:00:00,"4627/9/280/7",4627,9,280,"7",9815139,"Kleppegrend 20","kleppegrend",20,NA,"H0102","5308","Småhus",824688,"Rekkehus","Bolig","Bolig",20,94849,7.96,c(-38415.61, 6739072.09)
