"","P","pm2","Alder","B.Ar","EL.Kar","EL.Kar.Original","O.Karak","O.Karak_num","BLEnergikWh","MatValg","MatValg_num","Oms.Typ","BolType","AntEiendom","EiendomAreal","VannkantGL","VegkantGL","RegLBE","RegGrunnforur","RegKulturEiendom","RegGrunnerverv","TotBoliger","BRA.Bolig","BRA.Annet","BRA.Tot","BebygdAreal","RegKulturByg","Etasje","Lopenr","Bruksareal.Enhet","AntallRom","AntallBad","AntallWC","PrivatEid","HarHeis","Etasje_num","EtasjeSeksjon","Kjokken","VannKode","Vannforsyning","AvlopsKode","Avlop","DokumentAr","YearQuarter","DokumentDato","Matrikkel","Knr","Gnr","Bnr","Snr","Bygningsnummer","GateAdresse","EiendomAdressegatenavn","EiendomAdressehusnr","EiendomAdressebokstav","BruksEnhetsNummer","Postnummer","Bygningskategori","Dokumentnr","Bygningstype","Anvendelse","Naeringsgruppe","Andelsnummer","InternIdBruksenhet","dist_cbd_km","geom"
"11",6500000,104838.709677419,22,1998,4,"D","Orange",2,176.76,"Tre",4,"Fritt salg","Frittliggende enebolig",1,"1359.1",0,0,0,0,0,0,2,353,"0.0","353.0","0.0",0,1,1,62,2,1,1,1,0,1,"Underetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q4",2020-10-06 02:00:00,"4601/205/24/NA",4601,205,24,"0",9559531,"HJORTLANDSVEGEN 110","hjortlandsvegen",110,NA,"H0101","5135","Småhus",3132780,"Enebolig m/hybel/sokkelleil.","Bolig","Bolig",6,4818339,7.58,c(-28640.7, 6741105.12)
"12",3100000,30693.0693069307,129,1893,1,"G","Red",1,920.37,"Tre",4,"Fritt salg","Blokkleilighet",1,"115.4",0,0,0,0,1,0,3,207,"0.0","207.0","0.0",1,2,1,101,4,1,1,1,0,2,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q4",2022-11-25 01:00:00,"4601/166/329/NA",4601,166,329,"0",139297075,"LILLE ØVREGATEN 20 A","lille øvregaten",20,"A","H0101","5018","Småhus",1343982,"Store sammenb. boligbygg på 3 og 4 etg.","Bolig","Bolig",6,4865477,0.49,c(-31604.57, 6734575.97)
"13",2190000,81111.1111111111,127,1893,1,"G","Red",1,920.37,"Tre",4,"Fritt salg","Blokkleilighet",2,"115.4",0,0,0,0,1,0,3,207,"0.0","207.0","0.0",1,1,2,27,2,1,1,1,0,2,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q3",2020-09-04 02:00:00,"4601/166/329/NA",4601,166,329,"0",139297075,"LILLE ØVREGATEN 20 A","lille øvregaten",20,"A","H0101","5018","Småhus",2973151,"Store sammenb. boligbygg på 3 og 4 etg.","Bolig","Bolig",5,4865477,0.49,c(-31604.57, 6734575.97)
"14",6400000,101587.301587302,16,2004,5,"C","Orange",2,155.39,"Tre",4,"Fritt salg","Frittliggende enebolig",1,"860.3",0,0,0,0,0,0,2,228,"0.0","228.0","0.0",0,1,1,63,3,1,1,1,0,1,"Underetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q1",2020-03-23 01:00:00,"4601/172/171/NA",4601,172,171,"0",20786272,"GAMLE STEINSTØVEGEN 38","gamle steinstøvegen",38,NA,"H0101","5108","Småhus",2257217,"Enebolig m/hybel/sokkelleil.","Bolig","Bolig",10,6487882,14.44,c(-30400.17, 6748667.94)
"15",5700000,36305.7324840764,25,1996,4,"D","Red",1,230.63,"Tre",4,"Fritt salg","Rekkehus/kjede",1,"195.6",0,0,0,0,0,0,1,157,"0.0","157.0","0.0",0,1,1,157,3,1,1,1,0,2,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q3",2021-08-10 02:00:00,"4601/35/470/NA",4601,35,470,"0",9556575,"SANDSLIBAKKEN 37","sandslibakken",37,NA,"H0101","5253","Småhus",976357,"Rekkehus","Bolig","Bolig",8,4818061,9.75,c(-35825.23, 6725338.63)
"16",5670000,21000,32,1988,3,"E","Orange",2,256.45,"Tre",4,"Fritt salg","Frittliggende enebolig",1,"544.2",0,0,0,0,0,0,1,270,"0.0","270.0","0.0",0,1,1,270,4,2,2,1,0,2,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q2",2020-06-02 02:00:00,"4627/7/756/NA",4627,7,756,"0",9818154,"Holmedalshammaren 17","holmedalshammaren",17,NA,"H0101","5300","Småhus",2529915,"Enebolig","Bolig","Bolig",5,92549,6.1,c(-37624.86, 6736765.85)
"17",5990000,99833.3333333333,35,1987,3,"E","Orange",2,248.72,"Tre",4,"Fritt salg","Frittliggende enebolig",1,"737.9",0,0,0,0,0,0,2,269,"0.0","269.0","0.0",0,1,1,60,2,1,1,1,0,1,"Underetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q1",2022-03-15 01:00:00,"4624/8/473/NA",4624,8,473,"0",9775668,"Lerkevegen 33","lerkevegen",33,NA,"H0101","5212","Småhus",288500,"Enebolig m/hybel/sokkelleil.","Bolig","Bolig",5,2319568,18.61,c(-27155.86, 6716368.39)
"18",5350000,41796.875,36,1986,4,"D","Orange",2,229.67,"Tre",4,"Fritt salg","Rekkehus/kjede",1,"212.6",0,0,0,0,0,0,1,132,"0.0","132.0","0.0",0,1,1,128,4,1,1,1,0,2,"Hovedetasje","Kjøkken",0,"Ikke Oppgitt",0,"Ikke Oppgitt",2022,"2022Q2",2022-06-22 02:00:00,"4601/185/572/NA",4601,185,572,"0",139879244,"Morvikbotn 80","morvikbotn",80,NA,"H0101","5122","Småhus",675669,"Rekkehus","Bolig","Bolig",7,4948355,8.71,c(-33186.97, 6742958)
"19",2000000,37735.8490566038,47,1973,2,"F","Orange",2,443.89,"Tre",4,"Fritt salg","Frittliggende enebolig",1,"743.1",0,0,0,0,0,0,1,46,"0.0","46.0","0.0",0,1,1,53,2,1,1,1,0,2,"Hovedetasje","Kjøkken",0,"Ikke Oppgitt",1,"Offentlig kloakk",2020,"2020Q3",2020-07-30 02:00:00,"4601/170/82/NA",4601,170,82,"0",139638492,"Høgstølen 32","høgstølen",32,NA,"H0101","5111","Småhus",2808158,"Enebolig","Bolig","Bolig",7,4903682,11.36,c(-26363.65, 6744165.49)
"20",4800000,24870.4663212435,13,2006,6,"B","Yellow",3,116.11,"Tre",4,"Fritt salg","Frittliggende enebolig",1,"821.7",0,0,0,0,0,0,1,193,"0.0","193.0","0.0",0,1,1,193,5,2,2,1,0,2,"Hovedetasje","Kjøkken",0,"Ikke Oppgitt",0,"Ikke Oppgitt",2019,"2019Q1",2019-01-21 01:00:00,"4601/198/83/NA",4601,198,83,"0",23610469,"SØRE TUFT 12","søre tuft",12,NA,"H0101","5109","Småhus",84684,"Enebolig","Bolig","Bolig",5,4833524,12.67,c(-28652.55, 6746538.65)
