"","P","Alder","B.Ar","EL.Kar","O.Karak","BLEnergikWh","MatValg","Oms.Typ","BolType","AntEiendom","EiendomAreal","VannkantGL","VegkantGL","RegLBE","RegGrunnforur","RegKulturEiendom","RegGrunnerverv","RegBoDrivePlikt","TotBoliger","BRA.Bolig","BRA.Annet","BRA.Tot","BebygdAreal","RegKulturByg","Etasje","Lopenr","Bruksareal.Enhet","AntallRom","AntallBad","AntallWC","PrivatEid","HarHeis","EtasjeSeksjon","Kjokken","VannKode","Vannforsyning","AvlopsKode","Avlop","DokumentAr","YearQuarter","DokumentDato","Matrikkel","Knr","Gnr","Bnr","Snr","Bygningsnummer","GateAdresse","EiendomAdressegatenavn","EiendomAdressehusnr","EiendomAdressebokstav","BruksEnhetsNummer","Postnummer","Bygningskategori","Dokumentnr","Bygningstype","Anvendelse","Naeringsgruppe","EiendomNordSor","EiendomOstVest"
"63",4150000,28,1992,4,"Orange",225.66,"Tre","Fritt salg","Frittliggende enebolig",1,"963.3",0,0,0,0,0,0,0,2,"178.0","0.0","178.0","0.0",0,1,1,"59.0",2,1,1,1,0,"Underetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q1",2020-03-18,"4627/4/1018/NA","4627","4","1018","NA",9825517,"VESTRE VARDANE 18","vestre vardane",18,NA,"H0101","5306","Småhus",2243515,"Enebolig m/hybel/sokkelleil.","Bolig","Bolig","6741592.05","-37223.21"
"67",4150000,28,1992,4,"Orange",225.66,"Tre","Fritt salg","Frittliggende enebolig",1,"963.3",0,0,0,0,0,0,0,2,"178.0","0.0","178.0","0.0",0,1,1,"119.0",4,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q1",2020-03-18,"4627/4/1018/NA","4627","4","1018","NA",9825517,"VESTRE VARDANE 18","vestre vardane",18,NA,"H0101","5306","Småhus",2243515,"Enebolig m/hybel/sokkelleil.","Bolig","Bolig","6741592.05","-37223.21"
"75",1070000,70,1950,1,"Orange",517.07,"Tre","Fritt salg","Blokkleilighet",1,"743.0",0,0,0,0,0,0,0,4,"391.0","0.0","391.0","0.0",0,2,1,"0.0",0,0,0,1,0,"Hovedetasje","Ikke Oppgitt",0,"Ikke Oppgitt",0,"Ikke Oppgitt",2020,"2020Q4",2020-12-07,"4628/22/266/4","4628","22","266","4",175830898,"SKULEGATA 28","skulegata",28,NA,NA,"5722","Småhus",3448449,"Andre småhus m/3 boliger el fl","Bolig","Bolig","6752406.02","-1743.45"
"76",2900000,130,1890,3,"Red",221.28,"Tre","Fritt salg","Blokkleilighet",1,"121.1",0,0,0,0,1,0,0,6,"281.0","0.0","281.0","0.0",1,2,2,"40.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q2",2020-06-02,"4601/167/1381/4","4601","167","1381","4",139321782,"FORSTANDERSMAUET 2 A","forstandersmauet",2,"A",NA,"5003","Boligblokker",2526036,"Store sammenb. boligbygg på 3 og 4 etg.","Bolig","Bolig","6734860.4","-31729.63"
"79",1870000,130,1890,3,"Red",221.28,"Tre","Tvangssalg","Annet",1,"121.1",0,0,0,0,1,0,0,6,"281.0","0.0","281.0","0.0",1,1,1,"30.0",1,1,1,1,0,"Underetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q1",2020-03-04,"4601/167/1381/1","4601","167","1381","1",139321782,"FORSTANDERSMAUET 2 A","forstandersmauet",2,"A",NA,"5003","Boligblokker",2183200,"Store sammenb. boligbygg på 3 og 4 etg.","Bolig","Bolig","6734860.4","-31729.63"
"80",2900000,14,2006,4,"Red",143.94,"Betong","Fritt salg","Blokkleilighet",1,"1527.6",0,0,0,0,0,0,0,18,"2214.0","0.0","2214.0","0.0",0,2,6,"79.0",3,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q4",2020-10-21,"4601/87/162/7","4601","87","162","7",23597845,"Apeltunhaugene 105","apeltunhaugene",105,NA,"H0201","5238","Boligblokker",3210102,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6723037.48","-32741.07"
"83",2900000,14,2006,4,"Red",143.94,"Betong","Fritt salg","Blokkleilighet",1,"1527.6",0,0,0,0,0,0,0,18,"2214.0","0.0","2214.0","0.0",0,1,1,"79.0",3,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q3",2020-08-12,"4601/87/162/3","4601","87","162","3",23597845,"Apeltunhaugene 105","apeltunhaugene",105,NA,"H0201","5238","Boligblokker",2865437,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6723037.48","-32741.07"
"85",3950000,14,2006,4,"Red",143.94,"Betong","Fritt salg","Blokkleilighet",1,"1527.6",0,0,0,0,0,0,0,18,"2214.0","0.0","2214.0","0.0",0,2,3,"96.0",4,1,2,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q3",2020-09-17,"4601/87/162/4","4601","87","162","4",23597845,"Apeltunhaugene 105","apeltunhaugene",105,NA,"H0201","5238","Boligblokker",3041853,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6723037.48","-32741.07"
"89",3040000,14,2006,4,"Red",143.94,"Betong","Fritt salg","Blokkleilighet",1,"1527.6",0,0,0,0,0,0,0,18,"2214.0","0.0","2214.0","0.0",0,3,6,"79.0",3,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q2",2020-06-26,"4601/87/162/13","4601","87","162","13",23597845,"Apeltunhaugene 105","apeltunhaugene",105,NA,"H0201","5238","Boligblokker",2657692,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6723037.48","-32741.07"
"92",2250000,103,1917,1,"Red",693.09,"Tre","Fritt salg","Blokkleilighet",1,"763.1",0,0,0,0,0,0,0,3,"299.0","0.0","299.0","0.0",0,3,1,"0.0",0,0,0,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q3",2020-07-03,"4601/162/378/3","4601","162","378","3",139258533,"Ibsens gate 102","ibsens gate",102,NA,"H0301","5052","Småhus",2696681,"Enebolig m/hybel/sokkelleil.","Bolig","Bolig","6732008.36","-30857.85"
"107",2350000,127,1893,2,"Orange",339.79,"Tre","Fritt salg","Blokkleilighet",1,"182.9",0,0,0,0,0,0,0,5,"349.0","0.0","349.0","0.0",1,1,2,"0.0",0,0,0,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q2",2020-05-27,"4601/167/396/1","4601","167","396","1",139313135,"Edvardsens gate 29","edvardsens gate",29,NA,NA,"5034","Boligblokker",2509723,"Store sammenb. boligbygg på 3 og 4 etg.","Bolig","Bolig","6735585.37","-31737.66"
"115",4800000,120,1900,1,"Red",379.63,"Mur/tegl","Fritt salg","Blokkleilighet",1,"204.9",0,0,0,0,0,0,0,8,"656.0","0.0","656.0","0.0",1,2,1,"69.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q3",2020-08-17,"4601/164/399/3","4601","164","399","3",139277147,"STORMS GATE 3","storms gate",3,NA,NA,"5006","Boligblokker",2881084,"Store sammenb. boligbygg på 5 etg. el. mer","Bolig","Bolig","6733522.3","-32183.16"
"117",4100000,120,1900,1,"Red",379.63,"Mur/tegl","Fritt salg","Blokkleilighet",1,"204.9",0,0,0,0,0,0,0,8,"656.0","0.0","656.0","0.0",1,3,1,"64.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q2",2020-06-11,"4601/164/399/5","4601","164","399","5",139277147,"STORMS GATE 3","storms gate",3,NA,NA,"5006","Boligblokker",2581153,"Store sammenb. boligbygg på 5 etg. el. mer","Bolig","Bolig","6733522.3","-32183.16"
