"","P","pm2","Alder","B.Ar","EL.Kar","EL.Kar.Original","O.Karak","O.Karak_num","BLEnergikWh","MatValg","MatValg_num","Oms.Typ","BolType","AntEiendom","EiendomAreal","VannkantGL","VegkantGL","RegLBE","RegGrunnforur","RegKulturEiendom","RegGrunnerverv","TotBoliger","BRA.Bolig","BRA.Annet","BRA.Tot","BebygdAreal","RegKulturByg","Etasje","Lopenr","Bruksareal.Enhet","AntallRom","AntallBad","AntallWC","PrivatEid","HarHeis","Etasje_num","EtasjeSeksjon","Kjokken","VannKode","Vannforsyning","AvlopsKode","Avlop","DokumentAr","YearQuarter","DokumentDato","Matrikkel","Knr","Gnr","Bnr","Snr","Bygningsnummer","GateAdresse","EiendomAdressegatenavn","EiendomAdressehusnr","EiendomAdressebokstav","BruksEnhetsNummer","Postnummer","Bygningskategori","Dokumentnr","Bygningstype","Anvendelse","Naeringsgruppe","Andelsnummer","InternIdBruksenhet","dist_cbd_km","geom"
"11",1200000,7185.62874251497,37,1983,3,"E","Yellow",3,225.47,"Tre",4,"Fritt salg","Frittliggende enebolig",1,"561.1",0,0,0,0,0,0,1,167,"0.0","167.0","0.0",0,1,1,167,4,1,2,1,0,2,"Hovedetasje","Kjøkken",2,"Tilkn. privat vannverk",2,"Privat kloakk",2020,"2020Q3",2020-07-17 02:00:00,"4628/39/60/NA",4628,39,60,"0",9837787,NA,"mystervegen",55,NA,NA,"5728","Småhus",2763263,"Enebolig","Bolig","Bolig",7,3138229,46.68,c(-126.61, 6768397.86)
"12",3350000,24632.3529411765,8,2011,6,"B","Red",1,110.22,"Tre",4,"Fritt salg","Tomannsbolig",1,"398.7",0,0,0,0,0,0,1,136,"0.0","136.0","92.0",0,1,1,136,5,1,2,1,0,2,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q4",2019-10-03 02:00:00,"4624/44/582/NA",4624,44,582,"0",300037852,"Kvernhusrenen 1 I","kvernhusrenen",1,"I","H0101","5208","Småhus",1164117,"Tomannsbolig, vertikaldelt","Bolig","Bolig",7,4740077,28.45,c(-29855.62, 6705959.15)
"13",3350000,19590.6432748538,37,1984,2,"F","Orange",2,290.57,"Tre",4,"Fritt salg","Frittliggende enebolig",2,"1038.0",0,0,0,0,0,0,1,171,"0.0","171.0","0.0",0,1,1,171,4,1,2,1,0,2,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",2,"Privat kloakk",2021,"2021Q2",2021-04-13 02:00:00,"4627/21/457/NA",4627,21,457,"0",9807942,"Breivikvegen 107","breivikvegen",107,NA,NA,"5310","Småhus",421895,"Enebolig","Bolig","Bolig",5,86009,15.92,c(-44289.89, 6744474.35)
"14",2400000,22018.3486238532,10,2010,5,"C","Orange",2,135.99,"Tre",4,"Fritt salg","Tomannsbolig",1,"573.1",0,0,0,0,0,0,1,109,"0.0","109.0","0.0",0,1,1,109,4,2,2,1,0,2,"Hovedetasje","Kjøkken",0,"Ikke Oppgitt",0,"Ikke Oppgitt",2020,"2020Q1",2020-02-04 01:00:00,"4626/52/316/NA",4626,52,316,"0",24182339,"Haganesbrekko 23","haganesbrekko",23,NA,"H0101","5357","Småhus",2066963,"Tomannsbolig, vertikaldelt","Bolig","Bolig",5,368283,17.34,c(-45547.33, 6723463.94)
"15",4750000,33928.5714285714,19,2000,5,"C","Yellow",3,155.49,"Tre",4,"Fritt salg","Frittliggende enebolig",1,"523.2",0,0,0,0,0,0,1,140,"0.0","140.0","0.0",0,1,1,140,5,2,2,1,0,2,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q2",2019-06-05 02:00:00,"4627/10/561/NA",4627,10,561,"0",19719499,"Lyngmarka 8","lyngmarka",8,NA,"H0101","5302","Småhus",634000,"Enebolig","Bolig","Bolig",6,681154,7.89,c(-39467.56, 6736959.03)
"16",4600000,25842.6966292135,33,1988,3,"E","Orange",2,231.12,"Tre",4,"Fritt salg","Frittliggende enebolig",1,"857.6",0,0,0,0,0,0,1,178,"0.0","178.0","35.0",0,1,1,178,5,2,2,1,0,2,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q3",2021-08-05 02:00:00,"4624/8/469/NA",4624,8,469,"0",12319932,"Stallen 21","stallen",21,NA,"H0101","5212","Småhus",957050,"Enebolig","Bolig","Bolig",5,7219640,18.12,c(-28044.5, 6716645.8)
"17",3930000,29328.3582089552,6,2015,6,"B","Red",1,125.38,"Tre",4,"Fritt salg","Rekkehus/kjede",1,"221.1",0,0,0,0,0,0,1,134,"0.0","134.0","107.0",0,1,1,134,5,1,2,1,0,2,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",2,"Privat kloakk",2021,"2021Q2",2021-06-04 02:00:00,"4626/51/382/NA",4626,51,382,"0",300509960,"Hellemyrvegen 48","helletoppen",48,NA,NA,"5177","Småhus",668313,"Rekkehus","Bolig","Bolig",6,6551002,11.65,c(-41195.57, 6727130.66)
"18",3780000,23625,31,1988,3,"E","Orange",2,221.83,"Tre",4,"Fritt salg","Frittliggende enebolig",1,"785.3",0,0,0,0,0,0,1,196,"0.0","196.0","160.0",0,1,1,160,5,2,2,1,0,2,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q1",2019-03-20 01:00:00,"4627/14/260/NA",4627,14,260,"0",9818553,"Vinkelfjellet 22","vinkelfjellet",22,NA,NA,"5308","Småhus",336543,"Enebolig","Bolig","Bolig",5,92678,9.07,c(-39208.79, 6739862.94)
"19",3525000,22452.2292993631,31,1989,4,"D","Yellow",3,178.91,"Tre",4,"Fritt salg","Tomannsbolig",1,"404.5",0,0,0,0,0,0,2,315,"0.0","315.0","0.0",0,1,1,157,5,1,2,1,0,2,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q1",2020-01-06 01:00:00,"4626/39/466/NA",4626,39,466,"0",12191944,"Nordre Knappen 71 A","nordre knappen",71,"A","H0101","5355","Småhus",1948401,"Tomannsbolig, vertikaldelt","Bolig","Bolig",6,330157,9.58,c(-41566.75, 6735227.18)
"20",4020000,21729.7297297297,38,1981,2,"F","Orange",2,281.86,"Tre",4,"Fritt salg","Frittliggende enebolig",1,"990.3",0,0,0,0,0,0,1,185,"0.0","185.0","0.0",0,1,1,185,5,1,1,1,0,2,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q3",2019-08-14 02:00:00,"4624/59/43/NA",4624,59,43,"0",12531699,"Nordmarka 78","nordmarka",78,NA,"H0101","5211","Småhus",937769,"Enebolig","Bolig","Bolig",8,2336930,22.88,c(-26953.65, 6712018.25)
"21",6000000,20202.0202020202,5,2014,6,"B","Red",1,113.05,"Tre",4,"Fritt salg","Frittliggende enebolig",1,"812.0",0,0,0,0,0,0,1,297,"0.0","297.0","192.0",0,1,1,297,7,2,3,1,0,2,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q4",2019-11-01 01:00:00,"4626/23/352/NA",4626,23,352,"0",300420613,"Vestre Angeltveit 8","vestre angeltveit",8,NA,NA,"5363","Småhus",1300027,"Enebolig","Bolig","Bolig",6,6379693,19.15,c(-50611.2, 6738948.28)
