"","P","Alder","B.Ar","EL.Kar","O.Karak","BLEnergikWh","MatValg","Oms.Typ","BolType","AntEiendom","EiendomAreal","VannkantGL","VegkantGL","RegLBE","RegGrunnforur","RegKulturEiendom","RegGrunnerverv","RegBoDrivePlikt","TotBoliger","BRA.Bolig","BRA.Annet","BRA.Tot","BebygdAreal","RegKulturByg","Etasje","Lopenr","Bruksareal.Enhet","AntallRom","AntallBad","AntallWC","PrivatEid","HarHeis","EtasjeSeksjon","Kjokken","VannKode","Vannforsyning","AvlopsKode","Avlop","DokumentAr","YearQuarter","DokumentDato","Matrikkel","Knr","Gnr","Bnr","Snr","Bygningsnummer","GateAdresse","EiendomAdressegatenavn","EiendomAdressehusnr","EiendomAdressebokstav","BruksEnhetsNummer","Postnummer","Bygningskategori","Dokumentnr","Bygningstype","Anvendelse","Naeringsgruppe","EiendomNordSor","EiendomOstVest"
"15",4690000,25,1994,3,"Red",201.07,"Betong","Fritt salg","Blokkleilighet",1,"286.6",0,0,0,0,1,0,0,12,"1000.0","0.0","1000.0","0.0",0,1,1,"70.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q3",2019-07-15,"4601/166/419/2","4601","166","419","2",9529705,"Nedre Hamburgersmauet 3 A","nedre hamburgersmauet",9,"A","H0101","5018","Boligblokker",820995,"Store sammenb. boligbygg på 5 etg. el. mer","Bolig","Bolig","6734651.46","-31697.51"
"17",4670000,26,1994,3,"Red",201.07,"Betong","Fritt salg","Blokkleilighet",1,"286.6",0,0,0,0,1,0,0,12,"1000.0","0.0","1000.0","0.0",0,1,1,"90.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q4",2020-11-23,"4601/166/419/4","4601","166","419","4",9529705,"Nedre Hamburgersmauet 3 A","nedre hamburgersmauet",3,"B","H0101","5018","Boligblokker",3377367,"Store sammenb. boligbygg på 5 etg. el. mer","Bolig","Bolig","6734651.46","-31697.51"
"19",4550000,104,1915,3,"Red",227.15,"Tre","Annet","Blokkleilighet",1,"228.5",0,0,0,0,0,0,0,6,"586.0","0.0","586.0","0.0",0,2,2,"0.0",0,0,0,1,0,"Hovedetasje","Ikke Oppgitt",0,"Ikke Oppgitt",0,"Ikke Oppgitt",2019,"2019Q2",2019-05-15,"4601/168/510/3","4601","168","510","3",139710738,"Kirkegaten 43","kirkegaten",43,NA,"H0202","5036","Boligblokker",553606,"Store sammenb. boligbygg på 5 etg. el. mer","Bolig","Bolig","6736007.2","-31572.59"
"21",6250000,105,1915,3,"Red",227.15,"Tre","Fritt salg","Blokkleilighet",1,"228.5",0,0,0,0,0,0,0,6,"586.0","0.0","586.0","0.0",0,3,2,"0.0",0,0,0,1,0,"Hovedetasje","Ikke Oppgitt",0,"Ikke Oppgitt",0,"Ikke Oppgitt",2020,"2020Q4",2020-12-10,"4601/168/510/5","4601","168","510","5",139710738,"Kirkegaten 43","kirkegaten",43,NA,"H0202","5036","Boligblokker",3469859,"Store sammenb. boligbygg på 5 etg. el. mer","Bolig","Bolig","6736007.2","-31572.59"
"23",3300000,106,1915,3,"Red",227.15,"Tre","Fritt salg","Blokkleilighet",1,"228.5",0,0,0,0,0,0,0,6,"586.0","0.0","586.0","0.0",0,2,1,"0.0",0,0,0,1,0,"Hovedetasje","Ikke Oppgitt",0,"Ikke Oppgitt",0,"Ikke Oppgitt",2021,"2021Q1",2021-03-30,"4601/168/510/4","4601","168","510","4",139710738,"Kirkegaten 43","kirkegaten",43,NA,"H0202","5036","Boligblokker",379630,"Store sammenb. boligbygg på 5 etg. el. mer","Bolig","Bolig","6736007.2","-31572.59"
"28",4460000,105,1915,3,"Red",227.15,"Tre","Fritt salg","Blokkleilighet",1,"228.5",0,0,0,0,0,0,0,6,"586.0","0.0","586.0","0.0",0,1,1,"0.0",0,0,0,1,0,"Hovedetasje","Ikke Oppgitt",0,"Ikke Oppgitt",0,"Ikke Oppgitt",2020,"2020Q2",2020-06-09,"4601/168/510/1","4601","168","510","1",139710738,"Kirkegaten 43","kirkegaten",43,NA,"H0202","5036","Boligblokker",2567086,"Store sammenb. boligbygg på 5 etg. el. mer","Bolig","Bolig","6736007.2","-31572.59"
"29",6100000,35,1984,3,"Orange",274.86,"Tre","Fritt salg","Frittliggende enebolig",2,"918.8",0,0,0,0,0,0,0,1,"285.0","0.0","285.0","0.0",0,1,1,"285.0",5,2,3,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q2",2019-05-03,"4601/188/326/NA","4601","188","326","NA",9419829,"Myrdalskogen 195","myrdalskogen",195,NA,"H0101","5117","Småhus",500732,"Enebolig","Bolig","Bolig","6743078.92","-31984.98"
"31",6350000,32,1989,4,"Yellow",196.29,"Tre","Fritt salg","Frittliggende enebolig",1,"725.1",0,0,0,0,0,0,0,2,"232.0","0.0","232.0","0.0",0,1,1,"76.0",3,1,1,1,0,"Underetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q4",2021-11-04,"4601/43/698/NA","4601","43","698","NA",9489118,"SANDDALSRINGEN 17","sanddalsringen",17,NA,"H0101","5225","Småhus",1389031,"Enebolig m/hybel/sokkelleil.","Bolig","Bolig","6726572.78","-30619.42"
"35",6350000,32,1989,4,"Yellow",196.29,"Tre","Fritt salg","Frittliggende enebolig",1,"725.1",0,0,0,0,0,0,0,2,"232.0","0.0","232.0","0.0",0,1,1,"156.0",6,2,2,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q4",2021-11-04,"4601/43/698/NA","4601","43","698","NA",9489118,"SANDDALSRINGEN 17","sanddalsringen",17,NA,"H0101","5225","Småhus",1389031,"Enebolig m/hybel/sokkelleil.","Bolig","Bolig","6726572.78","-30619.42"
"39",3320000,11,2011,5,"Red",144.77,"Tre","Fritt salg","Blokkleilighet",1,"1815.1",1,0,0,0,0,0,0,2,"146.0","0.0","146.0","1.0",0,2,1,"73.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q3",2022-08-09,"4601/287/886/4","4601","287","886","4",300057097,"STØLSVEGEN 133","stølsvegen",135,NA,"H0101","5262","Småhus",872026,"Rekkehus","Bolig","Bolig","6734808.13","-23440.25"
"41",2550000,84,1937,1,"Orange",539.35,"Betong","Fritt salg","Blokkleilighet",1,"370.4",0,0,0,0,0,0,0,6,"360.0","0.0","360.0","0.0",0,1,2,"0.0",0,0,0,1,0,"Hovedetasje","Ikke Oppgitt",0,"Ikke Oppgitt",0,"Ikke Oppgitt",2021,"2021Q2",2021-06-08,"4601/158/706/2","4601","158","706","2",139708806,"Nordre Skogveien 71","nordre skogveien",71,NA,"H0101","5057","Småhus",678744,"Stort frittliggende boligbygg på 2 etg.","Bolig","Bolig","6732819.89","-32336.02"
