"","P","Alder","B.Ar","EL.Kar","EL.Kar.Original","O.Karak","O.Karak_num","BLEnergikWh","MatValg","MatValg_num","Oms.Typ","BolType","AntEiendom","EiendomAreal","VannkantGL","VegkantGL","RegLBE","RegGrunnforur","RegKulturEiendom","RegGrunnerverv","TotBoliger","BRA.Bolig","BRA.Annet","BRA.Tot","BebygdAreal","RegKulturByg","Etasje","Lopenr","Bruksareal.Enhet","AntallRom","AntallBad","AntallWC","PrivatEid","HarHeis","EtasjeSeksjon","Kjokken","VannKode","Vannforsyning","AvlopsKode","Avlop","DokumentAr","YearQuarter","DokumentDato","Matrikkel","Knr","Gnr","Bnr","Snr","Bygningsnummer","GateAdresse","EiendomAdressegatenavn","EiendomAdressehusnr","EiendomAdressebokstav","BruksEnhetsNummer","Postnummer","Bygningskategori","Dokumentnr","Bygningstype","Anvendelse","Naeringsgruppe","EiendomNordSor","EiendomOstVest","Andelsnummer","InternIdBruksenhet"
"537",3500000,17,2004,4,"D","Red",1,141.48,"Betong",1,"Fritt salg","Blokkleilighet",1,"4384.9",1,0,0,0,0,0,46,"4154.0","0.0","4154.0","0.0",0,4,2,"74.0",3,1,1,1,1,"Hovedetasje","Kjøkken",3,"Privat innlagt",1,"Offentlig kloakk",2021,"2021Q2",2021-05-28,"4601/123/518/29",4601,123,518,"29",20767952,"Lyderhornslien 125","lyderhornslien",125,NA,"H0402","5178","Boligblokker",630702,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6733198.37","-37191.09",7,4827655
"539",3690000,30,1991,4,"D","Red",1,199.96,"Tre",4,"Fritt salg","Uoppgitt",1,"2888.4",1,0,0,0,0,0,4,"338.0","0.0","338.0","0.0",0,1,1,"86.0",3,1,1,1,0,"Underetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q3",2021-07-14,"4601/25/383/7",4601,25,383,"7",9515127,"Kirsten Flagstads vei 40 B","kirsten flagstads vei",40,"B","U0101","5146","Småhus",868748,"Andre småhus m/3 boliger el fl","Bolig","Bolig","6730961.61","-33621.67",13,4812529
"543",3030000,73,1948,1,"G","Orange",2,386.8,"Mur/tegl",2,"Fritt salg","Blokkleilighet",1,"1788.8",1,0,0,0,0,0,6,"581.0","0.0","581.0","190.0",0,1,2,"45.0",2,1,1,1,0,"Underetasje","Ikke Oppgitt",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q2",2021-06-07,"4601/166/1494/4",4601,166,1494,"4",139748735,"Nystuveien 10","nystuveien",10,NA,"H0202","5019","Boligblokker",670878,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6733500.9","-30415.49",9,4933597
"546",5500000,73,1948,1,"G","Orange",2,386.8,"Mur/tegl",2,"Fritt salg","Blokkleilighet",1,"1788.8",1,0,0,0,0,0,6,"581.0","0.0","581.0","190.0",0,1,1,"82.0",4,1,1,1,0,"Hovedetasje","Ikke Oppgitt",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q4",2021-11-03,"4601/166/1494/7",4601,166,1494,"7",139748735,"Nystuveien 10","nystuveien",10,NA,"H0202","5019","Boligblokker",1379832,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6733500.9","-30415.49",8,4933598
"554",2490000,82,1939,1,"G","Red",1,489.5,"Tre",4,"Fritt salg","Blokkleilighet",1,"893.5",0,0,0,0,0,0,7,"495.0","0.0","495.0","156.0",0,3,1,"62.0",3,1,1,1,0,"Hovedetasje","Ikke Oppgitt",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q3",2021-07-16,"4601/168/1022/5",4601,168,1022,"5",139333659,"Jægermyren 15","jægermyren",15,NA,"H0301","5042","Boligblokker",882827,"Store sammenb. boligbygg på 3 og 4 etg.","Bolig","Bolig","6737538.27","-32640.2",5,6218393
"556",2525000,82,1939,1,"G","Red",1,489.5,"Tre",4,"Fritt salg","Blokkleilighet",1,"893.5",0,0,0,0,0,0,7,"495.0","0.0","495.0","156.0",0,3,2,"62.0",3,1,1,1,0,"Hovedetasje","Ikke Oppgitt",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q2",2021-06-01,"4601/168/1022/6",4601,168,1022,"6",139333659,"Jægermyren 15","jægermyren",15,NA,"H0301","5042","Boligblokker",646868,"Store sammenb. boligbygg på 3 og 4 etg.","Bolig","Bolig","6737538.27","-32640.2",3,6218394
"558",3550000,82,1939,1,"G","Red",1,489.5,"Tre",4,"Fritt salg","Annet",1,"893.5",0,0,0,0,0,0,7,"495.0","0.0","495.0","156.0",0,2,2,"62.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q3",2021-07-07,"4601/168/1022/4",4601,168,1022,"4",139333659,"Jægermyren 15","jægermyren",15,NA,"H0301","5042","Boligblokker",835385,"Store sammenb. boligbygg på 3 og 4 etg.","Bolig","Bolig","6737538.27","-32640.2",7,4874651
"562",5375000,14,2007,5,"C","Red",1,156.54,"Betong",1,"Fritt salg","Blokkleilighet",2,"1132.1",0,0,0,0,0,0,4,"417.0","0.0","417.0","1.0",0,1,1,"140.0",4,1,2,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q1",2021-02-16,"4601/50/255/3",4601,50,255,"3",23650975,"Kirkebirkeland 69 C","kirkebirkeland",69,"D","U0101","5227","Småhus",192240,"Andre småhus m/3 boliger el fl","Bolig","Bolig","6724138.96","-30423.73",7,4836109
"563",2690000,14,2007,5,"C","Red",1,156.54,"Betong",1,"Fritt salg","Blokkleilighet",1,"1132.1",0,0,0,0,0,0,4,"417.0","0.0","417.0","1.0",0,1,1,"60.0",3,1,1,1,0,"Underetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q1",2021-02-09,"4601/50/255/1",4601,50,255,"1",23650975,"Kirkebirkeland 69 C","kirkebirkeland",69,"C","U0101","5227","Småhus",161617,"Andre småhus m/3 boliger el fl","Bolig","Bolig","6724138.96","-30423.73",6,4836111
"564",3160000,20,2001,2,"F","Red",1,288.21,"Tre",4,"Fritt salg","Annet",1,"12408.8",1,0,0,0,0,0,12,"1032.0","0.0","1032.0","540.0",0,2,1,"80.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q4",2021-11-01,"4601/6/253/26",4601,6,253,"26",20766700,"Bakkedalen 36 B","bakkedalen",32,"B","H0201","5225","Småhus",1365301,"Stort frittliggende boligbygg på 2 etg.","Bolig","Bolig","6728371.25","-28987.44",10,4827427
"565",3110000,20,2001,2,"F","Red",1,288.21,"Tre",4,"Fritt salg","Blokkleilighet",1,"12408.8",1,0,0,0,0,0,12,"1032.0","0.0","1032.0","540.0",0,2,1,"80.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q2",2021-04-15,"4601/6/253/27",4601,6,253,"27",20766700,"Bakkedalen 36 B","bakkedalen",34,"B","H0201","5225","Småhus",435311,"Stort frittliggende boligbygg på 2 etg.","Bolig","Bolig","6728371.25","-28987.44",6,4827431
"567",3120000,20,2001,2,"F","Red",1,288.21,"Tre",4,"Fritt salg","Blokkleilighet",1,"12408.8",1,0,0,0,0,0,12,"1032.0","0.0","1032.0","540.0",0,2,1,"89.0",4,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q3",2021-08-17,"4601/6/253/31",4601,6,253,"31",20766700,"Bakkedalen 36 B","bakkedalen",42,"B","H0201","5225","Småhus",1001608,"Stort frittliggende boligbygg på 2 etg.","Bolig","Bolig","6728371.25","-28987.44",7,4827428
"569",3650000,13,2008,5,"C","Red",1,144.95,"Betong",1,"Fritt salg","Blokkleilighet",1,"9509.1",1,0,0,0,0,0,29,"2178.0","0.0","2178.0","0.0",0,3,5,"65.0",2,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q4",2021-11-26,"4601/26/334/13",4601,26,334,"13",25176162,"Helgeplasset 9","helgeplasset",9,NA,"H0306","5148","Boligblokker",1492683,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6730193.35","-33618.51",4,4838597
"574",4100000,13,2008,5,"C","Red",1,139.96,"Tre",4,"Fritt salg","Tomannsbolig",1,"834.8",0,0,0,0,0,0,1,"111.0","0.0","111.0","1.0",0,1,1,"111.0",5,2,2,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q4",2021-11-19,"4624/61/138/1",4624,61,138,"1",21725749,"Hjellevegen 80 A","hjellevegen",80,"A","H0101","5211","Småhus",1459680,"Tomannsbolig, vertikaldelt","Bolig","Bolig","6712082.05","-26226.85",6,6215641
"576",2290000,7,2014,6,"B","Red",1,111.19,"Tre",4,"Fritt salg","Blokkleilighet",1,"3427.1",0,0,0,0,0,0,4,"304.0","0.0","304.0","184.0",0,1,1,"77.0",3,1,1,1,0,"Hovedetasje","Kjøkken",3,"Privat innlagt",2,"Privat kloakk",2021,"2021Q3",2021-07-19,"4624/72/34/7",4624,72,34,"7",300407881,"Eidsvegen 65 A","eidsvegen",65,"A","H0101","5211","Småhus",888496,"Andre småhus m/3 boliger el fl","Bolig","Bolig","6713320.89","-23486.72",4,6354841
"580",2800000,17,2004,5,"C","Orange",2,176.39,"Tre",4,"Fritt salg","Blokkleilighet",1,"8121.5",1,0,0,0,0,0,4,"372.0","0.0","372.0","0.0",0,1,1,"70.0",3,1,1,1,0,"Underetasje","Kjøkken",0,"Ikke Oppgitt",0,"Ikke Oppgitt",2021,"2021Q3",2021-09-03,"4601/43/648/5",4601,43,648,"5",23578298,"Korgelia 26 A","korgelia",26,"A","U0101","5225","Småhus",1086502,"Andre småhus m/3 boliger el fl","Bolig","Bolig","6726432.92","-30399.55",11,4831349
"586",3475000,18,2003,5,"C","Orange",2,152.48,"Tre",4,"Fritt salg","Blokkleilighet",1,"1936.9",0,0,0,0,0,0,4,"478.0","0.0","478.0","0.0",0,1,1,"90.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q2",2021-04-13,"4601/46/124/4",4601,46,124,"4",20779594,"Midtlia 6 B","midtlia",6,"D","H0201","5223","Småhus",423366,"Andre småhus m/3 boliger el fl","Bolig","Bolig","6725115.95","-30663.86",4,4829221
"592",3850000,14,2007,5,"C","Green",5,123.53,"Betong",1,"Fritt salg","Blokkleilighet",1,"8711.3",1,0,0,0,0,0,25,"2853.0","0.0","2853.0","0.0",0,2,2,"53.0",2,1,1,1,0,"Hovedetasje","Kjøkken",0,"Ikke Oppgitt",0,"Ikke Oppgitt",2021,"2021Q2",2021-05-19,"4601/120/436/27",4601,120,436,"27",23593661,"Kvernslåttvegen 9","kvernslåttvegen",9,NA,"H0302","5237","Boligblokker",583680,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6724086.47","-34180.07",8,4832519
"593",2675000,14,2007,5,"C","Green",5,123.53,"Betong",1,"Fritt salg","Blokkleilighet",1,"8711.3",1,0,0,0,0,0,25,"2853.0","0.0","2853.0","0.0",0,2,2,"47.0",2,1,1,1,0,"Hovedetasje","Kjøkken",0,"Ikke Oppgitt",0,"Ikke Oppgitt",2021,"2021Q3",2021-08-16,"4601/120/436/31",4601,120,436,"31",23593661,"Kvernslåttvegen 9","kvernslåttvegen",7,NA,"H0302","5237","Boligblokker",998897,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6724086.47","-34180.07",3,4832508
"595",3600000,14,2007,5,"C","Green",5,123.53,"Betong",1,"Fritt salg","Blokkleilighet",1,"8711.3",1,0,0,0,0,0,25,"2853.0","0.0","2853.0","0.0",0,1,2,"53.0",3,1,1,1,0,"Hovedetasje","Kjøkken",0,"Ikke Oppgitt",0,"Ikke Oppgitt",2021,"2021Q4",2021-12-07,"4601/120/436/20",4601,120,436,"20",23593661,"Kvernslåttvegen 9","kvernslåttvegen",9,NA,"H0302","5237","Boligblokker",1536901,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6724086.47","-34180.07",6,4832515
"596",3e+06,14,2007,5,"C","Green",5,123.53,"Betong",1,"Fritt salg","Blokkleilighet",1,"8711.3",1,0,0,0,0,0,25,"2853.0","0.0","2853.0","0.0",0,1,2,"67.0",3,1,1,1,0,"Hovedetasje","Kjøkken",0,"Ikke Oppgitt",0,"Ikke Oppgitt",2021,"2021Q4",2021-11-29,"4601/120/436/24",4601,120,436,"24",23593661,"Kvernslåttvegen 9","kvernslåttvegen",7,NA,"H0302","5237","Boligblokker",1497752,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6724086.47","-34180.07",10,4832511
"597",5990000,10,2011,6,"B","Red",1,123.03,"Betong",1,"Fritt salg","Blokkleilighet",1,"1677.9",0,0,0,0,0,0,3,"327.0","0.0","327.0","1.0",0,1,1,"104.0",4,1,2,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q4",2021-10-05,"4601/168/1160/3",4601,168,1160,"3",300111495,"Biskopshavn 9 B","biskopshavn",9,"A","H0201","5043","Småhus",1236082,"Andre småhus m/3 boliger el fl","Bolig","Bolig","6738204.15","-33107.8",10,5826250
"599",2925000,15,2006,5,"C","Red",1,170.94,"Tre",4,"Fritt salg","Blokkleilighet",1,"3478.0",0,0,0,0,0,0,8,"508.0","0.0","508.0","0.0",0,2,1,"61.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q2",2021-06-07,"4601/10/722/8",4601,10,722,"8",23661586,"Nedre Nattland 73 H","nedre nattland",73,"H","H0201","5099","Småhus",675615,"Stort frittliggende boligbygg på 2 etg.","Bolig","Bolig","6727886.72","-30536.35",7,4836854
"600",3350000,37,1984,2,"F","Orange",2,290.57,"Tre",4,"Fritt salg","Frittliggende enebolig",2,"1038.0",0,0,0,0,0,0,1,"171.0","0.0","171.0","0.0",0,1,1,"171.0",4,1,2,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",2,"Privat kloakk",2021,"2021Q2",2021-04-13,"4627/21/457/NA",4627,21,457,"NA",9807942,"Breivikvegen 107","breivikvegen",107,NA,NA,"5310","Småhus",421895,"Enebolig","Bolig","Bolig","6744474.35","-44289.89",5,86009
"601",2350000,15,2006,4,"D","Orange",2,185.9,"Tre",4,"Fritt salg","Uoppgitt",1,"578.5",0,0,0,0,0,0,6,"467.0","0.0","467.0","260.0",0,1,1,"73.0",3,1,1,1,0,"Underetasje","Kjøkken",1,"Tilkn. off. vannverk",2,"Privat kloakk",2021,"2021Q2",2021-06-21,"4627/17/542/2",4627,17,542,"2",23004046,"Kollevågtjørna 12 E","kollevågtjørna",12,"B","H0101","5310","Småhus",747952,"Stort frittliggende boligbygg på 2 etg.","Bolig","Bolig","6742094.41","-41558.91",6,154581
"604",2550000,15,2006,4,"D","Orange",2,185.9,"Tre",4,"Fritt salg","Blokkleilighet",1,"578.5",0,0,0,0,0,0,6,"467.0","0.0","467.0","260.0",0,1,1,"80.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",2,"Privat kloakk",2021,"2021Q4",2021-11-16,"4627/17/542/6",4627,17,542,"6",23004046,"Kollevågtjørna 12 E","kollevågtjørna",12,"F","H0101","5310","Småhus",1444554,"Stort frittliggende boligbygg på 2 etg.","Bolig","Bolig","6742094.41","-41558.91",5,154564
"609",5300000,16,2005,5,"C","Red",1,138.74,"Betong",1,"Fritt salg","Blokkleilighet",1,"469.6",0,0,0,0,1,0,14,"1303.0","0.0","1303.0","0.0",0,2,1,"76.0",3,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q2",2021-04-14,"4601/167/555/6",4601,167,555,"6",20773170,"Nye Sandviksveien 52","nye sandviksveien",52,NA,"H0203","5032","Boligblokker",428842,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6735342.06","-31885.42",8,4828381
"619",2990000,18,2003,4,"D","Red",1,140.83,"Betong",1,"Fritt salg","Annet",1,"2719.0",0,0,0,0,0,0,9,"985.0","0.0","985.0","0.0",0,1,1,"75.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",0,"Ikke Oppgitt",2021,"2021Q4",2021-10-18,"4601/50/242/3",4601,50,242,"3",20767197,"Nedre Kirkebirkeland 39","nedre kirkebirkeland",39,NA,"H0102","5227","Boligblokker",1300252,"Terrassehus","Bolig","Bolig","6723892.08","-30644.81",6,4827553
"620",3515000,18,2003,4,"D","Red",1,140.83,"Betong",1,"Fritt salg","Blokkleilighet",1,"2719.0",0,0,0,0,0,0,9,"985.0","0.0","985.0","0.0",0,2,1,"88.0",4,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",0,"Ikke Oppgitt",2021,"2021Q4",2021-12-02,"4601/50/242/6",4601,50,242,"6",20767197,"Nedre Kirkebirkeland 39","nedre kirkebirkeland",39,NA,"H0102","5227","Boligblokker",1516620,"Terrassehus","Bolig","Bolig","6723892.08","-30644.81",5,4827550
"630",4275000,8,2013,5,"C","Green",5,124.62,"Betong",1,"Fritt salg","Blokkleilighet",1,"4328.1",1,0,0,0,0,0,20,"1479.0","0.0","1479.0","360.0",0,3,1,"53.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q3",2021-09-13,"4601/158/87/7",4601,158,87,"7",300281113,"Michael Krohns gate 73","michael krohns gate",73,NA,"H0301","5057","Boligblokker",1130489,"Store sammenb. boligbygg på 5 etg. el. mer","Bolig","Bolig","6733136.07","-32443.98",4,6134071
"631",3300000,10,2011,5,"C","Red",1,146.02,"Tre",4,"Fritt salg","Tomannsbolig",1,"5989.1",1,0,0,0,0,0,1,"76.0","0.0","76.0","76.0",0,1,1,"76.0",3,1,1,1,0,"Hovedetasje","Kjøkken",2,"Tilkn. privat vannverk",1,"Offentlig kloakk",2021,"2021Q4",2021-11-16,"4627/16/405/8",4627,16,405,"8",300041937,"Rispeleitet 12A","rispeleitet",12,"A",NA,"5310","Småhus",1444596,"Tomannsbolig, vertikaldelt","Bolig","Bolig","6742800.25","-40041.26",3,4970893
"635",3850000,18,2003,5,"C","Red",1,136.2,"Betong",1,"Fritt salg","Blokkleilighet",1,"3707.1",1,0,0,0,0,0,52,"3833.0","0.0","3833.0","630.0",0,2,2,"53.0",2,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q4",2021-10-01,"4601/168/2064/13",4601,168,2064,"13",20774584,"Måseskjærveien 22","måseskjærveien",24,NA,"H0302","5035","Boligblokker",1222430,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6736699.89","-31915.75",4,4828677
"638",5050000,18,2003,5,"C","Red",1,136.2,"Betong",1,"Fritt salg","Blokkleilighet",1,"3707.1",1,0,0,0,0,0,52,"3833.0","0.0","3833.0","630.0",0,3,4,"73.0",3,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q4",2021-12-06,"4601/168/2064/19",4601,168,2064,"19",20774584,"Måseskjærveien 22","måseskjærveien",24,NA,"H0302","5035","Boligblokker",1534537,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6736699.89","-31915.75",9,6954240
"640",3660000,18,2003,5,"C","Red",1,136.2,"Betong",1,"Fritt salg","Blokkleilighet",1,"3707.1",1,0,0,0,0,0,52,"3833.0","0.0","3833.0","630.0",0,3,2,"53.0",2,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q3",2021-09-15,"4601/168/2064/17",4601,168,2064,"17",20774584,"Måseskjærveien 22","måseskjærveien",22,NA,"H0302","5035","Boligblokker",1142537,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6736699.89","-31915.75",5,4828655
"652",2850000,18,2003,5,"C","Red",1,161.03,"Tre",4,"Fritt salg","Blokkleilighet",1,"4463.7",1,0,0,0,0,0,8,"882.0","0.0","882.0","0.0",0,1,1,"85.0",4,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q3",2021-09-06,"4601/50/247/7",4601,50,247,"7",20772034,"Kirkebirkeland 91 D","kirkebirkeland",91,"A","H0201","5227","Småhus",1095286,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6724059.67","-30539.52",4,4828262
"653",2990000,18,2003,5,"C","Red",1,161.03,"Tre",4,"Fritt salg","Blokkleilighet",1,"4463.7",1,0,0,0,0,0,8,"882.0","0.0","882.0","0.0",0,1,1,"85.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q3",2021-07-12,"4601/50/247/3",4601,50,247,"3",20772034,"Kirkebirkeland 91 D","kirkebirkeland",91,"F","H0201","5227","Småhus",859916,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6724059.67","-30539.52",6,4828260
"654",3600000,18,2003,5,"C","Red",1,161.03,"Tre",4,"Fritt salg","Blokkleilighet",1,"4463.7",1,0,0,0,0,0,8,"882.0","0.0","882.0","0.0",0,2,1,"128.0",4,2,2,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q2",2021-06-03,"4601/50/247/2",4601,50,247,"2",20772034,"Kirkebirkeland 91 D","kirkebirkeland",91,"H","H0201","5227","Småhus",658871,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6724059.67","-30539.52",7,4828259
"657",2720000,18,2003,5,"C","Red",1,141.49,"Tre",4,"Fritt salg","Blokkleilighet",1,"1413.6",1,0,0,0,0,0,4,"326.0","0.0","326.0","0.0",0,1,1,"78.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q2",2021-04-29,"4627/17/456/1",4627,17,456,"1",19725510,"Storheia 7 B","storheia",9,"A","H0201","5310","Småhus",501558,"Rekkehus","Bolig","Bolig","6742388.22","-41726.36",11,140794
"659",3480000,65,1956,1,"G","Orange",2,399.71,"Tre",4,"Fritt salg","Blokkleilighet",1,"1660.3",0,0,0,0,0,0,8,"904.0","0.0","904.0","0.0",0,2,1,"71.0",4,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",0,"Ikke Oppgitt",2021,"2021Q3",2021-08-26,"4601/148/189/1",4601,148,189,"1",139610105,"Lyngbøveien 149","lyngbøveien",151,NA,"H0101","5164","Småhus",1048158,"Andre småhus m/3 boliger el fl","Bolig","Bolig","6733250.6","-35419.61",7,4898701
"668",3910000,7,2014,4,"D","Orange",2,136.88,"Betong",1,"Fritt salg","Blokkleilighet",1,"2176.8",0,0,0,0,0,0,14,"1265.0","0.0","1265.0","500.0",0,1,1,"83.0",3,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q1",2021-03-19,"4601/159/620/10",4601,159,620,"10",300246211,"Mindeveien 77","mindeveien",77,NA,"H0101","5073","Boligblokker",337552,"Store sammenb. boligbygg på 3 og 4 etg.","Bolig","Bolig","6731022.01","-31616.28",6,6073588
"671",2850000,7,2014,4,"D","Orange",2,136.88,"Betong",1,"Fritt salg","Blokkleilighet",1,"2176.8",0,0,0,0,0,0,14,"1265.0","0.0","1265.0","500.0",0,1,3,"55.0",2,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q2",2021-06-10,"4601/159/620/8",4601,159,620,"8",300246211,"Mindeveien 77","mindeveien",77,NA,"H0101","5073","Boligblokker",696901,"Store sammenb. boligbygg på 3 og 4 etg.","Bolig","Bolig","6731022.01","-31616.28",5,6073590
"675",5350000,20,2001,4,"D","Red",1,126.74,"Betong",1,"Fritt salg","Blokkleilighet",1,"1384.8",0,0,0,0,0,0,33,"4325.0","0.0","4325.0","0.0",0,4,4,"83.0",3,1,1,1,1,"Hovedetasje","Kjøkken",0,"Ikke Oppgitt",1,"Offentlig kloakk",2021,"2021Q3",2021-09-20,"4601/12/356/21",4601,12,356,"21",20739398,"Fantoftvegen 28","fantoftvegen",28,NA,NA,"5072","Boligblokker",1160190,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6728714.78","-31075.57",8,4824242
"678",6500000,38,1983,2,"F","Orange",2,246.3,"Tre",4,"Fritt salg","Rekkehus/kjede",1,"305.5",0,0,0,0,0,0,1,"199.0","0.0","199.0","0.0",0,1,1,"199.0",4,2,2,1,0,"Hovedetasje","Kjøkken",0,"Ikke Oppgitt",0,"Ikke Oppgitt",2021,"2021Q3",2021-08-16,"4601/121/590/NA",4601,121,590,"NA",139898567,"Nordåshøgda 64","nordåshøgda",64,NA,NA,"5235","Småhus",999018,"Rekkehus","Bolig","Bolig","6724703.21","-33951.95",5,4950290
"680",5230000,10,2011,5,"C","Red",1,167.81,"Tre",4,"Fritt salg","Blokkleilighet",2,"758.1",1,0,0,0,0,0,6,"713.0","0.0","713.0","1.0",0,3,1,"90.0",4,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q4",2021-12-03,"4601/42/198/5",4601,42,198,"5",25169808,"Nesttunhalsen 20 C","nesttunhalsen",20,"F","H0201","5221","Småhus",1526239,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6726150.98","-31911.53",3,4838163
"682",2950000,29,1992,2,"F","Red",1,217.02,"Tre",4,"Fritt salg","Blokkleilighet",1,"6589.5",1,0,0,0,0,0,10,"954.0","0.0","954.0","0.0",0,2,1,"88.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q2",2021-06-29,"4627/14/353/9",4627,14,353,"9",14587217,"Ospedalen 157","ospedalen",145,NA,"H0201","5308","Boligblokker",791343,"Stort frittliggende boligbygg på 2 etg.","Bolig","Bolig","6739626.8","-39412.24",10,125703
"689",3650000,10,2011,6,"B","Green",5,113.26,"Betong",1,"Fritt salg","Blokkleilighet",1,"4325.6",1,0,0,0,0,0,50,"6750.0","0.0","6750.0","2413.0",0,4,3,"79.0",3,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q2",2021-04-06,"4626/35/36/38",4626,35,36,"38",300099776,"Bildøyvegen 19","bildøyvegen",19,NA,"H0204","5353","Boligblokker",387401,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6732073.83","-43677.07",9,6043082
