"","P","Alder","B.Ar","EL.Kar","EL.Kar.Original","O.Karak","O.Karak_num","BLEnergikWh","MatValg","MatValg_num","Oms.Typ","BolType","AntEiendom","EiendomAreal","VannkantGL","VegkantGL","RegLBE","RegGrunnforur","RegKulturEiendom","RegGrunnerverv","TotBoliger","BRA.Bolig","BRA.Annet","BRA.Tot","BebygdAreal","RegKulturByg","Etasje","Lopenr","Bruksareal.Enhet","AntallRom","AntallBad","AntallWC","PrivatEid","HarHeis","EtasjeSeksjon","Kjokken","VannKode","Vannforsyning","AvlopsKode","Avlop","DokumentAr","YearQuarter","DokumentDato","Matrikkel","Knr","Gnr","Bnr","Snr","Bygningsnummer","GateAdresse","EiendomAdressegatenavn","EiendomAdressehusnr","EiendomAdressebokstav","BruksEnhetsNummer","Postnummer","Bygningskategori","Dokumentnr","Bygningstype","Anvendelse","Naeringsgruppe","EiendomNordSor","EiendomOstVest","Andelsnummer","InternIdBruksenhet"
"28",3440000,15,2006,4,"D","Red",1,143.94,"Betong",1,"Fritt salg","Blokkleilighet",1,"1527.6",0,0,0,0,0,0,18,"2214.0","0.0","2214.0","0.0",0,3,2,"79.0",3,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q3",2021-07-23,"4601/87/162/11",4601,87,162,"11",23597845,"Apeltunhaugene 105","apeltunhaugene",105,NA,"H0201","5238","Boligblokker",909429,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6723037.48","-32741.07",3,4832782
"35",2250000,82,1939,1,"G","Red",1,415.25,"Mur/tegl",2,"Fritt salg","Annet",1,"110.9",0,0,0,0,0,0,4,"201.0","0.0","201.0","0.0",0,1,1,"34.0",2,1,1,1,0,"Underetasje","Kjøkken",0,"Ikke Oppgitt",0,"Ikke Oppgitt",2021,"2021Q4",2021-11-02,"4601/159/116/1",4601,159,116,"1",23609231,"Krohnhaugen 5","krohnhaugen",5,NA,"H0201","5059","Boligblokker",1372622,"Store sammenb. boligbygg på 3 og 4 etg.","Bolig","Bolig","6731757.7","-31155.17",5,4833482
"37",7650000,23,1998,5,"C","Orange",2,157.02,"Tre",4,"Fritt salg","Frittliggende enebolig",1,"884.9",0,0,0,0,0,0,2,"226.0","0.0","226.0","0.0",0,1,1,"226.0",6,2,2,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q3",2021-07-07,"4601/20/1678/NA",4601,20,1678,"NA",9582037,"KRÅKENESDALEN 321","kråkenesdalen",321,NA,"H0101","5153","Småhus",836673,"Enebolig m/hybel/sokkelleil.","Bolig","Bolig","6727627.89","-33241.26",6,4748512
"38",4825000,21,2000,4,"D","Orange",2,184.26,"Tre",4,"Fritt salg","Rekkehus/kjede",1,"5142.8",1,0,0,0,0,0,1,"138.0","0.0","138.0","0.0",0,1,1,"138.0",4,2,2,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q3",2021-09-13,"4601/35/549/17",4601,35,549,"17",20737344,"DOLVIKHAUGENE 102","dolvikhaugene",102,NA,"H0101","5252","Småhus",1128056,"Rekkehus","Bolig","Bolig","6725720.0","-36168.16",12,4824041
"39",4300000,128,1893,2,"F","Orange",2,339.79,"Tre",4,"Fritt salg","Blokkleilighet",1,"182.9",0,0,0,0,0,0,5,"349.0","0.0","349.0","0.0",1,1,1,"0.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q2",2021-06-11,"4601/167/396/2",4601,167,396,"2",139313135,"Edvardsens gate 29","edvardsens gate",29,NA,NA,"5034","Boligblokker",704697,"Store sammenb. boligbygg på 3 og 4 etg.","Bolig","Bolig","6735585.37","-31737.66",4,4868941
"40",3890000,20,2001,5,"C","Red",1,161.13,"Tre",4,"Fritt salg","Rekkehus/kjede",1,"52296.7",1,0,1,0,0,0,1,"136.0","0.0","136.0","0.0",0,1,1,"136.0",4,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q4",2021-12-10,"4627/14/375/88",4627,14,375,"88",19719073,"Nipefjellet 42","nipefjellet",42,NA,"H0101","5308","Småhus",1559183,"Rekkehus","Bolig","Bolig","6739294.61","-39183.26",9,136272
"43",2950000,121,1900,1,"G","Red",1,379.63,"Mur/tegl",2,"Fritt salg","Blokkleilighet",1,"204.9",0,0,0,0,0,0,8,"656.0","0.0","656.0","0.0",1,1,1,"39.0",2,1,1,1,0,"Loft","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q3",2021-07-21,"4601/164/399/7",4601,164,399,"7",139277147,"STORMS GATE 3","storms gate",3,NA,NA,"5006","Boligblokker",899029,"Store sammenb. boligbygg på 5 etg. el. mer","Bolig","Bolig","6733522.3","-32183.16",9,4857956
"49",2280000,71,1950,2,"F","Red",1,278.86,"Betong",1,"Fritt salg","Blokkleilighet",1,"1229.3",0,0,0,0,0,0,3,"235.0","0.0","235.0","130.0",0,2,1,"83.0",3,1,1,1,0,"Hovedetasje","Kjøkken",0,"Ikke Oppgitt",0,"Ikke Oppgitt",2021,"2021Q4",2021-10-20,"4627/15/116/3",4627,15,116,"3",13622086,"Rispeleitet 11 A","rispeleitet",11,"B","H0101","5310","Boligblokker",1312522,"Andre småhus m/3 boliger el fl","Bolig","Bolig","6742577.11","-40168.99",5,115117
"50",2200000,73,1948,1,"G","Red",1,540.2,"Betong",1,"Fritt salg","Blokkleilighet",1,"365.0",0,0,0,0,0,0,3,"201.0","0.0","201.0","0.0",0,1,1,"58.0",2,1,1,1,0,"Underetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q1",2021-02-17,"4601/150/197/1",4601,150,197,"1",139622464,"KEISERSTIEN 7","keiserstien",7,NA,"H0101","5163","Småhus",200236,"Tomannsbolig, vertikaldelt","Bolig","Bolig","6734518.58","-34523.96",8,4900405
"51",4435000,33,1988,4,"D","Orange",2,228.5,"Tre",4,"Fritt salg","Frittliggende enebolig",1,"758.2",0,0,0,0,0,0,1,"146.0","0.0","146.0","0.0",0,1,1,"143.0",5,2,2,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q2",2021-06-15,"4627/12/1400/NA",4627,12,1400,"NA",9820787,"Marikovneset 28","marikovneset",28,NA,"H0101","5302","Småhus",720616,"Enebolig","Bolig","Bolig","6735987.74","-39653.16",11,94201
