"","P","Alder","B.Ar","EL.Kar","EL.Kar.Original","O.Karak_num","BLEnergikWh","MatValg_num","Oms.Typ","BolType","AntEiendom","EiendomAreal","VannkantGL","VegkantGL","RegLBE","RegGrunnforur","RegKulturEiendom","RegGrunnerverv","RegBoDrivePlikt","TotBoliger","BRA.Bolig","BRA.Annet","BRA.Tot","BebygdAreal","RegKulturByg","Etasje","Lopenr","Bruksareal.Enhet","AntallRom","AntallBad","AntallWC","PrivatEid","HarHeis","EtasjeSeksjon","Kjokken","VannKode","Vannforsyning","AvlopsKode","Avlop","DokumentAr","YearQuarter","DokumentDato","Matrikkel","Knr","Gnr","Bnr","Snr","Bygningsnummer","GateAdresse","EiendomAdressegatenavn","EiendomAdressehusnr","EiendomAdressebokstav","BruksEnhetsNummer","Postnummer","Bygningskategori","Dokumentnr","Bygningstype","Anvendelse","Naeringsgruppe","EiendomNordSor","EiendomOstVest"
"88",3050000,16,2006,4,"D",1,143.94,1,"Fritt salg","Blokkleilighet",1,"1527.6",0,0,0,0,0,0,0,18,"2214.0","0.0","2214.0","0.0",0,3,1,"79.0",3,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q1",2022-03-04,"4601/87/162/12","4601","87","162","12",23597845,"Apeltunhaugene 105","apeltunhaugene",105,NA,"H0201","5238","Boligblokker",253095,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6723037.48","-32741.07"
"132",3220000,31,1991,4,"D",2,225.44,4,"Fritt salg","Blokkleilighet",1,"343.0",0,0,0,0,0,0,0,2,"245.0","0.0","245.0","0.0",0,1,1,"86.0",3,1,1,1,0,"Underetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q2",2022-04-13,"4601/43/771/2","4601","43","771","2",9504370,"MIDTUNHAUGEN 149","midtunhaugen",131,NA,"H0101","5224","Småhus",408038,"Rekkehus","Bolig","Bolig","6725999.96","-31175.65"
"163",4590000,28,1994,4,"D",2,232.1,4,"Fritt salg","Rekkehus/kjede",1,"350.3",0,0,0,0,0,0,0,1,"99.0","0.0","99.0","0.0",0,1,1,"99.0",4,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q4",2022-11-21,"4601/37/215/NA","4601","37","215","NA",9523278,"AURDALSLIA 7","aurdalslia",7,NA,"H0101","5253","Småhus",1320617,"Rekkehus","Bolig","Bolig","6725113.7","-35568.19"
"188",4350000,27,1995,4,"D",1,181.94,1,"Fritt salg","Blokkleilighet",1,"3338.7",0,0,0,0,0,0,0,34,"4244.0","0.0","4244.0","0.0",0,5,3,"70.0",3,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q2",2022-06-17,"4601/168/1952/27","4601","168","1952","27",9540105,"Lønborglien 286","lønborglien",286,NA,"H0202","5039","Boligblokker",660888,"Terrassehus","Bolig","Bolig","6739252.67","-33109.28"
"189",6890000,27,1995,4,"D",1,181.94,1,"Fritt salg","Blokkleilighet",1,"3338.7",0,0,0,0,0,0,0,34,"4244.0","0.0","4244.0","0.0",0,6,3,"112.0",3,1,2,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q4",2022-11-17,"4601/168/1952/33","4601","168","1952","33",9540105,"Lønborglien 286","lønborglien",286,NA,"H0202","5039","Boligblokker",1309769,"Terrassehus","Bolig","Bolig","6739252.67","-33109.28"
"192",6550000,27,1995,4,"D",1,181.94,1,"Fritt salg","Blokkleilighet",1,"3338.7",0,0,0,0,0,0,0,34,"4244.0","0.0","4244.0","0.0",0,3,1,"91.0",4,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q3",2022-07-05,"4601/168/1952/13","4601","168","1952","13",9540105,"Lønborglien 286","lønborglien",284,NA,"H0202","5039","Boligblokker",737275,"Terrassehus","Bolig","Bolig","6739252.67","-33109.28"
"195",3150000,27,1995,4,"D",1,181.94,1,"Fritt salg","Blokkleilighet",1,"3338.7",0,0,0,0,0,0,0,34,"4244.0","0.0","4244.0","0.0",0,2,3,"60.0",2,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q3",2022-09-01,"4601/168/1952/6","4601","168","1952","6",9540105,"Lønborglien 286","lønborglien",286,NA,"H0202","5039","Boligblokker",967249,"Terrassehus","Bolig","Bolig","6739252.67","-33109.28"
"204",3100000,129,1893,1,"G",1,920.37,4,"Fritt salg","Blokkleilighet",1,"115.4",0,0,0,0,1,0,0,3,"207.0","0.0","207.0","0.0",1,2,1,"101.0",4,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q4",2022-11-25,"4601/166/329/NA","4601","166","329","NA",139297075,"LILLE ØVREGATEN 20 A","lille øvregaten",20,"A","H0101","5018","Småhus",1343982,"Store sammenb. boligbygg på 3 og 4 etg.","Bolig","Bolig","6734575.97","-31604.57"
"238",1550000,31,1991,4,"D",1,171.22,1,"Opphør av samboerskap","Blokkleilighet",1,"10964.4",1,0,0,0,0,0,0,31,"3504.0","0.0","3504.0","0.0",0,1,1,"88.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q3",2022-09-27,"4601/11/676/1","4601","11","676","1",9486550,"Nordre Nattlandsfjellet 104 A","nordre nattlandsfjellet",104,"A","H0403","5098","Boligblokker",1081324,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6729075.64","-29895.8"
"245",3050000,31,1991,4,"D",1,171.22,1,"Fritt salg","Blokkleilighet",1,"10964.4",1,0,0,0,0,0,0,31,"3504.0","0.0","3504.0","0.0",0,1,5,"88.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q3",2022-07-18,"4601/11/676/5","4601","11","676","5",9486550,"Nordre Nattlandsfjellet 104 A","nordre nattlandsfjellet",104,"A","H0403","5098","Boligblokker",794665,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6729075.64","-29895.8"
"257",1841000,15,2007,4,"D",4,197.72,4,"Opphør av samboerskap","Tomannsbolig",1,"1476.5",0,0,0,0,0,0,0,2,"297.0","0.0","297.0","116.0",0,1,1,"148.0",5,1,2,1,0,"Hovedetasje","Kjøkken",0,"Ikke Oppgitt",0,"Ikke Oppgitt",2022,"2022Q3",2022-08-30,"4626/33/582/2","4626","33","582","2",24657817,"Midtskarbrekka 35","midtskarbrekka",35,NA,"H0101","5360","Småhus",957270,"Tomannsbolig, vertikaldelt","Bolig","Bolig","6731716.4","-45715.92"
"263",3250000,17,2005,3,"E",1,197.63,1,"Fritt salg","Blokkleilighet",1,"12415.3",1,0,0,0,0,0,0,34,"2128.0","0.0","2128.0","0.0",0,1,1,"63.0",3,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q3",2022-08-01,"4601/216/1150/1","4601","216","1150","1",20787449,"Lønborglien 40","lønborglien",40,NA,"H0305","5039","Boligblokker",840656,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6739543.38","-33040.27"
"267",3110000,17,2005,3,"E",1,197.63,1,"Fritt salg","Blokkleilighet",1,"12415.3",1,0,0,0,0,0,0,34,"2128.0","0.0","2128.0","0.0",0,5,3,"44.0",2,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q3",2022-08-29,"4601/216/1150/27","4601","216","1150","27",20787449,"Lønborglien 40","lønborglien",40,NA,"H0305","5039","Boligblokker",952076,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6739543.38","-33040.27"
